GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 16 to 19 years,Margin of Error; 16 to 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 44 years,Margin of Error; 25 to 44 years,Estimate; 45 to 54 years,Margin of Error; 45 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 to 64 years,Margin of Error; 60 to 64 years,Estimate; 65 years and over,Margin of Error; 65 years and over,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Car, truck, or van - drove alone: - 65 years and over","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Car, truck, or van - carpooled: - 65 years and over",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Public transportation (excluding taxicab): - 65 years and over,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - 16 to 19 years,Margin of Error; Walked: - 16 to 19 years,Estimate; Walked: - 20 to 24 years,Margin of Error; Walked: - 20 to 24 years,Estimate; Walked: - 25 to 44 years,Margin of Error; Walked: - 25 to 44 years,Estimate; Walked: - 45 to 54 years,Margin of Error; Walked: - 45 to 54 years,Estimate; Walked: - 55 to 59 years,Margin of Error; Walked: - 55 to 59 years,Estimate; Walked: - 60 to 64 years,Margin of Error; Walked: - 60 to 64 years,Estimate; Walked: - 65 years and over,Margin of Error; Walked: - 65 years and over,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - 16 to 19 years,Margin of Error; Worked at home: - 16 to 19 years,Estimate; Worked at home: - 20 to 24 years,Margin of Error; Worked at home: - 20 to 24 years,Estimate; Worked at home: - 25 to 44 years,Margin of Error; Worked at home: - 25 to 44 years,Estimate; Worked at home: - 45 to 54 years,Margin of Error; Worked at home: - 45 to 54 years,Estimate; Worked at home: - 55 to 59 years,Margin of Error; Worked at home: - 55 to 59 years,Estimate; Worked at home: - 60 to 64 years,Margin of Error; Worked at home: - 60 to 64 years,Estimate; Worked at home: - 65 years and over,Margin of Error; Worked at home: - 65 years and over
0400000US01,01,Alabama,2018956,15858,82310,4685,195619,5982,903662,9689,471507,7608,175850,4999,109659,4365,80349,3869,1677420,17355,65354,4394,152115,5651,746098,11024,400306,6925,151185,4890,95111,4267,67251,3698,236895,9426,11736,1584,32222,3538,115790,6276,47593,3047,14637,1731,8260,1259,6657,1316,10200,1839,164,178,1087,549,4165,1274,2037,741,1750,799,901,468,96,117,25896,3269,2729,969,4443,1238,10671,2010,4325,1157,1738,636,782,345,1208,602,21446,2361,1121,625,3263,1177,8978,1752,4593,1047,2023,657,905,452,563,380,47099,3439,1206,625,2489,829,17960,2281,12653,1757,4517,893,3700,940,4574,1090
0400000US02,02,Alaska,346972,5192,18759,2256,42498,2361,147464,3282,80926,2825,30364,2121,16367,1564,10594,1377,226782,5878,9849,1346,26925,2503,96450,3972,55906,3081,20061,2025,11062,1330,6529,1096,49545,3950,4015,1053,5543,1413,23782,3386,8609,1436,4281,993,1856,694,1459,552,5959,1351,344,343,1314,751,1618,603,1897,800,356,247,234,181,196,203,25021,2224,2493,1072,2855,813,10253,1318,4747,781,2395,496,1574,554,704,390,19467,1977,814,361,2340,889,9135,1406,5007,1009,1448,466,535,330,188,130,20198,3521,1244,759,3521,1837,6226,1257,4760,979,1823,615,1106,560,1518,475
0400000US04,04,Arizona,2873827,16529,125469,5163,283161,6571,1347130,10349,629279,6514,239754,5902,143915,5620,105119,5353,2165002,20637,82659,4809,203734,6490,1013658,15054,490844,7187,184561,5076,113234,5428,76312,4367,377077,13363,23765,2563,47728,4473,197650,9998,63658,4229,23389,2415,12798,2056,8089,1333,66779,5663,5541,1078,10121,2116,27161,3738,14639,2272,3925,1068,3651,1005,1741,751,53643,4575,7239,1250,8516,1951,20624,3093,8907,1631,3275,836,2295,773,2787,834,70304,5582,4598,1330,7865,1537,32860,4400,13696,2065,5770,1389,2820,890,2695,920,141022,6203,1667,549,5197,1544,55177,4754,37535,2991,18834,2076,9117,1480,13495,1714
0400000US05,05,Arkansas,1258196,11855,58814,4361,122913,4251,560436,7286,283747,5167,106293,4361,74581,3807,51412,3116,1007134,12588,41778,3471,89816,4033,448946,8021,234742,4756,87576,3935,61844,3518,42432,2967,160012,7223,12438,1889,21302,2531,74629,4589,30597,2688,11428,1729,6513,1515,3105,871,5539,1494,390,293,955,588,2429,1134,1011,570,200,215,256,191,298,373,25347,2724,2040,795,5689,1485,9393,1829,4141,1122,1535,615,1638,586,911,442,18936,2242,542,359,2326,908,8172,1573,4766,1100,1860,782,681,395,589,285,41228,3842,1626,790,2825,814,16867,2263,8490,1342,3694,810,3649,1023,4077,1000
0400000US06,06,California,16811097,46380,615657,12929,1736055,16700,7895770,32444,3797926,19120,1339761,14314,849402,13433,576526,11256,12228747,47546,366566,9563,1212071,15210,5766702,32582,2845817,21762,996058,12699,633734,12148,407799,8819,2009386,26836,104634,5555,237198,9110,1003084,20339,413153,10162,125963,5892,77176,4623,48178,3216,884770,18628,47968,4721,108746,5785,429204,12864,171515,7095,65709,4055,38696,3313,22932,2347,469555,12678,50903,3815,81967,4621,189318,7639,75789,4969,33749,3243,19968,2310,17861,2006,413382,12328,31287,3428,56872,4199,193935,8752,79981,5108,27506,2971,14112,1730,9689,1774,805257,18388,14299,2126,39201,4684,313527,10732,211671,8271,90776,4782,65716,3917,70067,4343
0400000US08,08,Colorado,2540846,14808,103954,5281,242556,5667,1171073,10212,588449,6656,217444,5285,136040,4892,81330,3641,1874591,14975,63845,4018,168905,6234,865996,11478,448036,6873,167646,4913,101719,4307,58444,3046,285782,11489,19268,2242,32690,3724,142589,8041,57576,4675,16913,2070,10189,1431,6557,1210,87436,5960,4353,1129,13371,2225,41694,4266,15434,2028,6535,1105,4534,1193,1515,539,68484,4611,9573,1613,13043,1747,27216,3291,9848,1598,3663,1027,3224,815,1917,704,62982,4016,3012,870,8984,1706,28355,2647,13266,1921,5101,1019,3106,745,1158,510,161571,5613,3903,947,5563,1411,65223,3505,44289,3458,17586,1820,13268,1516,11739,1474
0400000US09,09,Connecticut,1735519,14783,73598,3525,152180,4996,719134,8988,438990,6494,157502,4718,109769,4646,84346,3443,1381582,13655,42672,3174,109546,4589,576316,8580,365004,6823,130549,4300,90007,4029,67488,3005,154966,7185,15230,1772,15508,2118,65415,4617,33930,2503,12175,1775,7722,1502,4986,957,56238,4431,3990,963,9038,1876,25988,2691,9950,1577,3110,839,2755,890,1407,588,49970,4139,7058,1435,10920,2099,17835,2209,6928,1369,2430,810,2048,814,2751,899,21862,2635,2370,761,3187,935,8842,1534,4022,1036,1435,507,973,482,1033,480,70901,4363,2278,677,3981,1274,24738,2850,19156,2171,7803,1421,6264,1106,6681,1114
0400000US10,10,Delaware,425838,7387,17413,1412,42757,2998,183651,4621,104396,3617,35208,2314,25798,2163,16615,1615,338563,7670,10357,1456,31119,3178,147095,4805,85661,3690,29240,2190,22707,2104,12384,1210,44360,3589,2859,809,6776,1898,19958,2219,9368,1442,3248,780,760,331,1391,694,13946,2352,814,515,2382,962,6084,1430,2548,884,881,442,353,338,884,443,9326,1606,2231,792,1972,643,2394,779,1629,669,202,187,288,252,610,537,7126,1335,740,488,392,361,3251,906,1280,532,513,331,570,317,380,241,12517,1613,412,413,116,167,4869,1005,3910,906,1124,371,1120,440,966,395
0400000US11,11,District of Columbia,756816,11962,11637,1522,50793,3842,356215,9019,186508,5618,73899,3767,48198,3032,29566,2291,339323,9050,2060,740,14396,2331,158108,6832,90449,4483,35470,3009,24047,2135,14793,1698,79993,5083,1702,567,4465,1629,33727,2881,22430,2621,9751,1487,5117,1061,2801,684,268924,8956,4723,1050,24791,2699,129880,6314,62557,3637,24269,2843,14971,1523,7733,1355,37007,3226,2156,809,5373,1130,19017,2454,4566,1167,2115,752,1685,740,2095,759,17485,2537,134,137,1037,628,8971,1756,4297,1118,1337,530,920,471,789,420,14084,1723,862,357,731,474,6512,1222,2209,702,957,416,1458,493,1355,557
