GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Private for-profit wage and salary workers:,Margin of Error; Private for-profit wage and salary workers:,Estimate; Employee of private company workers,Margin of Error; Employee of private company workers,Estimate; Self-employed in own incorporated business workers,Margin of Error; Self-employed in own incorporated business workers,Estimate; Private not-for-profit wage and salary workers,Margin of Error; Private not-for-profit wage and salary workers,Estimate; Local government workers,Margin of Error; Local government workers,Estimate; State government workers,Margin of Error; State government workers,Estimate; Federal government workers,Margin of Error; Federal government workers,Estimate; Self-employed in own not incorporated business workers,Margin of Error; Self-employed in own not incorporated business workers,Estimate; Unpaid family workers,Margin of Error; Unpaid family workers,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - drove alone: - Local government workers","Margin of Error; Car, truck, or van - drove alone: - Local government workers","Estimate; Car, truck, or van - drove alone: - State government workers","Margin of Error; Car, truck, or van - drove alone: - State government workers","Estimate; Car, truck, or van - drove alone: - Federal government workers","Margin of Error; Car, truck, or van - drove alone: - Federal government workers","Estimate; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - drove alone: - Unpaid family workers","Margin of Error; Car, truck, or van - drove alone: - Unpaid family workers","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - carpooled: - Local government workers","Margin of Error; Car, truck, or van - carpooled: - Local government workers","Estimate; Car, truck, or van - carpooled: - State government workers","Margin of Error; Car, truck, or van - carpooled: - State government workers","Estimate; Car, truck, or van - carpooled: - Federal government workers","Margin of Error; Car, truck, or van - carpooled: - Federal government workers","Estimate; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - carpooled: - Unpaid family workers","Margin of Error; Car, truck, or van - carpooled: - Unpaid family workers",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Margin of Error; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Estimate; Public transportation (excluding taxicab): - Local government workers,Margin of Error; Public transportation (excluding taxicab): - Local government workers,Estimate; Public transportation (excluding taxicab): - State government workers,Margin of Error; Public transportation (excluding taxicab): - State government workers,Estimate; Public transportation (excluding taxicab): - Federal government workers,Margin of Error; Public transportation (excluding taxicab): - Federal government workers,Estimate; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Estimate; Public transportation (excluding taxicab): - Unpaid family workers,Margin of Error; Public transportation (excluding taxicab): - Unpaid family workers,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - Private for-profit wage and salary workers:,Margin of Error; Walked: - Private for-profit wage and salary workers:,Estimate; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Walked: - Private not-for-profit wage and salary workers,Margin of Error; Walked: - Private not-for-profit wage and salary workers,Estimate; Walked: - Local government workers,Margin of Error; Walked: - Local government workers,Estimate; Walked: - State government workers,Margin of Error; Walked: - State government workers,Estimate; Walked: - Federal government workers,Margin of Error; Walked: - Federal government workers,Estimate; Walked: - Self-employed in own not incorporated business workers,Margin of Error; Walked: - Self-employed in own not incorporated business workers,Estimate; Walked: - Unpaid family workers,Margin of Error; Walked: - Unpaid family workers,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - State government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - State government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Worked at home: - Private for-profit wage and salary workers:,Estimate; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Worked at home: - Private not-for-profit wage and salary workers,Estimate; Worked at home: - Local government workers,Margin of Error; Worked at home: - Local government workers,Estimate; Worked at home: - State government workers,Margin of Error; Worked at home: - State government workers,Estimate; Worked at home: - Federal government workers,Margin of Error; Worked at home: - Federal government workers,Estimate; Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Worked at home: - Self-employed in own not incorporated business workers,Estimate; Worked at home: - Unpaid family workers,Margin of Error; Worked at home: - Unpaid family workers
0400000US01,01,Alabama,1919778,14797,1342962,17341,1283058,17453,59904,4028,124486,4869,143224,6146,111342,4704,84381,5336,110981,5273,2402,771,1621511,16572,1151231,17411,1102602,17538,48629,3649,103158,4504,125738,5890,96699,4459,73173,4845,69706,3491,1806,621,197367,6981,133792,5996,129217,6076,4575,1064,14545,1842,13990,2245,9682,1281,7014,1298,18108,2381,236,281,8172,1778,5267,1410,5255,1408,12,19,1014,492,651,348,686,460,178,231,376,307,0,271,25155,2368,13634,1867,12790,1897,844,396,2859,779,993,501,2362,831,1659,666,3648,1044,0,271,19147,2640,13133,2044,12816,2011,317,347,1022,518,1019,443,975,521,1299,559,1699,680,0,271,48426,3670,25905,2942,20378,2449,5527,1169,1888,733,833,391,938,329,1058,630,17444,2148,360,312
0400000US02,02,Alaska,342551,6394,193448,6212,183717,6263,9731,1677,33627,2396,29376,2335,28045,2424,34837,3482,22194,2237,1024,700,230130,6492,132158,5815,126767,5807,5391,992,22927,2166,18533,1948,18771,1942,26798,2803,10701,1366,242,213,45078,3523,26970,2928,26455,2874,515,288,3973,1044,3844,1040,3706,837,4278,993,1770,794,537,526,4707,1325,3142,1114,3142,1114,0,271,448,305,285,289,531,320,137,131,164,261,0,271,28020,2370,14083,2192,12947,2048,1136,956,3477,900,4607,932,3082,727,1873,823,884,432,14,23,19218,2048,12003,1648,11641,1603,362,244,2012,720,1891,457,1050,403,1434,716,828,325,0,271,15398,2206,5092,1213,2765,959,2327,704,790,402,216,129,905,579,317,262,7847,1492,231,214
0400000US04,04,Arizona,2729757,21363,1958225,23198,1858749,22179,99476,6256,170016,8908,203150,9291,131775,6669,90860,5559,172893,9264,2838,838,2070957,22259,1517552,22411,1454616,21970,62936,4794,128187,7612,162793,8302,96800,5564,70422,5053,93533,6866,1670,645,323352,13342,227173,11114,216755,11060,10418,1834,20989,3017,25335,3250,18753,2480,12167,1823,18479,2588,456,338,55861,4907,41181,4601,40893,4575,288,254,3386,1263,4205,1277,3408,1024,1517,710,2164,794,0,271,65173,7222,44349,5422,42920,5370,1429,592,5049,2011,4645,1690,3812,1297,4353,1028,2965,852,0,271,72352,6325,50511,5020,48767,4939,1744,758,5506,1721,3368,852,5982,1287,1602,609,5249,2155,134,244,142062,7340,77459,5389,54798,4407,22661,2562,6899,1834,2804,803,3020,763,799,519,50503,4516,578,325
0400000US05,05,Arkansas,1224374,14588,859121,15429,820298,15694,38823,2930,85989,4745,69087,4245,94037,5081,32289,2777,81908,4441,1943,787,991971,14852,710147,15133,681079,15132,29068,2614,68828,4379,56310,3370,76155,4284,27532,2436,52125,3702,874,523,144175,7103,100749,6488,97562,6278,3187,911,10216,1698,10898,1888,11176,2131,2965,844,8020,1534,151,180,5105,1496,2518,894,2518,894,0,271,747,845,203,174,978,634,337,414,322,275,0,271,22228,3276,12855,2144,11899,2144,956,516,2062,782,615,314,3652,1763,348,319,2263,896,433,321,18487,2572,13024,2132,12778,2129,246,168,1423,1060,676,449,994,530,621,457,1749,905,0,271,42408,3585,19828,2506,14462,2397,5366,1056,2713,873,385,221,1082,464,486,350,17429,2110,485,447
0400000US06,06,California,16139699,40928,11220878,43097,10697662,42862,523216,11524,1049534,16246,1319790,19240,663505,13080,477486,11817,1382955,19901,25551,3255,11783251,46402,8351621,40181,8001747,40604,349874,9971,768564,12978,1051070,16836,458736,12022,348640,10638,793745,14043,10875,1874,1870263,25078,1323311,21752,1267746,21232,55565,4362,117136,5865,140739,7027,74477,4794,55915,4195,151090,8236,7595,1745,838055,18386,614189,16226,606131,16226,8058,1283,64603,4678,47332,3837,46224,4303,18312,2189,46711,4499,684,392,446576,11846,296653,10510,287417,10504,9236,1457,38520,3907,24685,2596,26392,3486,22915,3443,37076,3324,335,249,369408,11995,256616,10145,249403,10040,7213,1342,25480,2685,23097,2013,22626,2921,12374,2137,28699,3326,516,241,832146,16574,378488,10604,285218,8553,93270,5514,35231,3626,32867,3204,35050,3440,19330,2853,325634,10050,5546,1685
0400000US08,08,Colorado,2453377,15718,1732230,18738,1606702,19805,125528,5715,180015,6242,178787,7031,98054,5439,95233,5641,165346,6000,3712,958,1826923,16239,1311583,17654,1236008,17498,75575,3946,136863,5416,148888,6468,69594,4636,70016,4709,88197,4426,1782,599,246331,9296,176396,8952,163557,8708,12839,2224,20375,2125,15989,2028,10253,1665,8197,1407,14325,2059,796,576,81687,4896,61562,4417,60632,4469,930,435,3933,1058,3829,1164,6426,1266,4061,939,1876,671,0,271,72303,4895,41771,4029,38393,4106,3378,819,7430,1678,3516,739,5426,1751,8679,1447,5287,1305,194,177,60040,5083,42449,4352,40140,4321,2309,670,4044,917,3287,827,4344,1205,3088,1240,2784,780,44,75,166093,6611,98469,5062,67972,3966,30497,3270,7370,1420,3278,864,2011,788,1192,465,52877,3538,896,409
0400000US09,09,Connecticut,1694719,12924,1195641,15005,1136868,14278,58773,4047,162263,6727,128162,6057,70010,3924,29612,2600,107272,4799,1759,711,1356814,14404,963423,15301,920207,14343,43216,3375,126703,5815,110831,5503,59389,3535,24279,2158,71039,3747,1150,586,145095,7150,106453,6077,102745,6007,3708,1065,13689,1851,9278,1470,4232,958,3257,1216,7958,1695,228,221,54408,4545,41000,3575,40344,3477,656,375,6304,1656,2673,964,1739,682,633,464,2059,1001,0,271,49594,4461,30206,3320,28967,3307,1239,545,9784,1991,3521,1040,2941,904,700,349,2442,808,0,271,18914,2839,15237,2570,14736,2539,501,419,1823,625,557,335,323,183,218,177,756,421,0,271,69894,4619,39322,3297,29869,2771,9453,1571,3960,929,1302,529,1386,561,525,370,23018,2180,381,328
0400000US10,10,Delaware,416661,8712,298986,7573,282594,7343,16392,2057,40302,3394,12127,1781,36982,3125,11057,1665,16995,1983,212,176,337594,8077,244117,7097,232441,6631,11676,1840,31803,2892,10573,1584,30620,2939,9627,1582,10780,1560,74,87,37204,4139,27322,3466,25696,3425,1626,576,3455,870,773,436,3250,981,791,334,1613,504,0,271,13826,2495,9538,2036,9538,2036,0,271,2204,802,572,387,945,374,443,373,124,154,0,271,9395,1662,6276,1562,5934,1521,342,337,1459,643,90,125,1470,563,0,271,64,78,36,61,5208,1200,4040,1073,4011,1083,29,49,390,274,66,109,286,335,71,117,355,292,0,271,13434,1820,7693,1246,4974,1027,2719,813,991,616,53,88,411,325,125,221,4059,992,102,124
0400000US11,11,District of Columbia,758689,11963,329520,9914,311052,9816,18468,2526,119031,5685,36931,3547,13056,1786,232978,8426,26597,2133,576,410,324665,8094,144338,7262,134185,7422,10153,1733,47322,3087,22488,2715,6819,1197,91020,5194,12678,1636,0,271,85945,4905,37265,3447,34637,3384,2628,1063,11271,1955,4472,1147,1471,640,29468,3046,1925,686,73,101,282845,10150,116097,6181,113448,6060,2649,796,49450,3708,8719,1507,4022,1010,99495,5625,4821,1082,241,314,33220,2951,17416,2390,16753,2312,663,403,6416,1174,782,411,330,256,6718,1264,1558,638,0,271,16973,2320,7874,1650,7589,1681,285,204,3306,1082,302,232,160,202,4690,1124,641,347,0,271,15041,1984,6530,1284,4440,1045,2090,765,1266,457,168,209,254,206,1587,815,4974,1048,262,256
