GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Agriculture, forestry, fishing and hunting, and mining",Estimate; Construction,Margin of Error; Construction,Estimate; Manufacturing,Margin of Error; Manufacturing,Estimate; Wholesale trade,Margin of Error; Wholesale trade,Estimate; Retail trade,Margin of Error; Retail trade,"Estimate; Transportation and warehousing, and utilities","Margin of Error; Transportation and warehousing, and utilities",Estimate; Information,Margin of Error; Information,"Estimate; Finance and insurance, and real estate and rental and leasing","Margin of Error; Finance and insurance, and real estate and rental and leasing","Estimate; Professional, scientific, and management, and administrative and waste management services","Margin of Error; Professional, scientific, and management, and administrative and waste management services","Estimate; Educational services, and health care and social assistance","Margin of Error; Educational services, and health care and social assistance","Estimate; Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services",Estimate; Other services (except public administration),Margin of Error; Other services (except public administration),Estimate; Public administration,Margin of Error; Public administration,Estimate; Armed forces,Margin of Error; Armed forces,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Car, truck, or van - drove alone: - Agriculture, forestry, fishing and hunting, and mining","Estimate; Car, truck, or van - drove alone: - Construction","Margin of Error; Car, truck, or van - drove alone: - Construction","Estimate; Car, truck, or van - drove alone: - Manufacturing","Margin of Error; Car, truck, or van - drove alone: - Manufacturing","Estimate; Car, truck, or van - drove alone: - Wholesale trade","Margin of Error; Car, truck, or van - drove alone: - Wholesale trade","Estimate; Car, truck, or van - drove alone: - Retail trade","Margin of Error; Car, truck, or van - drove alone: - Retail trade","Estimate; Car, truck, or van - drove alone: - Transportation and warehousing, and utilities","Margin of Error; Car, truck, or van - drove alone: - Transportation and warehousing, and utilities","Estimate; Car, truck, or van - drove alone: - Information","Margin of Error; Car, truck, or van - drove alone: - Information","Estimate; Car, truck, or van - drove alone: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Car, truck, or van - drove alone: - Finance and insurance, and real estate and rental and leasing","Estimate; Car, truck, or van - drove alone: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Car, truck, or van - drove alone: - Professional, scientific, and management, and administrative and waste management services","Estimate; Car, truck, or van - drove alone: - Educational services, and health care and social assistance","Margin of Error; Car, truck, or van - drove alone: - Educational services, and health care and social assistance","Estimate; Car, truck, or van - drove alone: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Car, truck, or van - drove alone: - Arts, entertainment, and recreation, and accommodation and food services","Estimate; Car, truck, or van - drove alone: - Other services (except public administration)","Margin of Error; Car, truck, or van - drove alone: - Other services (except public administration)","Estimate; Car, truck, or van - drove alone: - Public administration","Margin of Error; Car, truck, or van - drove alone: - Public administration","Estimate; Car, truck, or van - drove alone: - Armed forces","Margin of Error; Car, truck, or van - drove alone: - Armed forces","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Car, truck, or van - carpooled: - Agriculture, forestry, fishing and hunting, and mining","Estimate; Car, truck, or van - carpooled: - Construction","Margin of Error; Car, truck, or van - carpooled: - Construction","Estimate; Car, truck, or van - carpooled: - Manufacturing","Margin of Error; Car, truck, or van - carpooled: - Manufacturing","Estimate; Car, truck, or van - carpooled: - Wholesale trade","Margin of Error; Car, truck, or van - carpooled: - Wholesale trade","Estimate; Car, truck, or van - carpooled: - Retail trade","Margin of Error; Car, truck, or van - carpooled: - Retail trade","Estimate; Car, truck, or van - carpooled: - Transportation and warehousing, and utilities","Margin of Error; Car, truck, or van - carpooled: - Transportation and warehousing, and utilities","Estimate; Car, truck, or van - carpooled: - Information","Margin of Error; Car, truck, or van - carpooled: - Information","Estimate; Car, truck, or van - carpooled: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Car, truck, or van - carpooled: - Finance and insurance, and real estate and rental and leasing","Estimate; Car, truck, or van - carpooled: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Car, truck, or van - carpooled: - Professional, scientific, and management, and administrative and waste management services","Estimate; Car, truck, or van - carpooled: - Educational services, and health care and social assistance","Margin of Error; Car, truck, or van - carpooled: - Educational services, and health care and social assistance","Estimate; Car, truck, or van - carpooled: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Car, truck, or van - carpooled: - Arts, entertainment, and recreation, and accommodation and food services","Estimate; Car, truck, or van - carpooled: - Other services (except public administration)","Margin of Error; Car, truck, or van - carpooled: - Other services (except public administration)","Estimate; Car, truck, or van - carpooled: - Public administration","Margin of Error; Car, truck, or van - carpooled: - Public administration","Estimate; Car, truck, or van - carpooled: - Armed forces","Margin of Error; Car, truck, or van - carpooled: - Armed forces",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,"Estimate; Public transportation (excluding taxicab): - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Public transportation (excluding taxicab): - Agriculture, forestry, fishing and hunting, and mining",Estimate; Public transportation (excluding taxicab): - Construction,Margin of Error; Public transportation (excluding taxicab): - Construction,Estimate; Public transportation (excluding taxicab): - Manufacturing,Margin of Error; Public transportation (excluding taxicab): - Manufacturing,Estimate; Public transportation (excluding taxicab): - Wholesale trade,Margin of Error; Public transportation (excluding taxicab): - Wholesale trade,Estimate; Public transportation (excluding taxicab): - Retail trade,Margin of Error; Public transportation (excluding taxicab): - Retail trade,"Estimate; Public transportation (excluding taxicab): - Transportation and warehousing, and utilities","Margin of Error; Public transportation (excluding taxicab): - Transportation and warehousing, and utilities",Estimate; Public transportation (excluding taxicab): - Information,Margin of Error; Public transportation (excluding taxicab): - Information,"Estimate; Public transportation (excluding taxicab): - Finance and insurance, and real estate and rental and leasing","Margin of Error; Public transportation (excluding taxicab): - Finance and insurance, and real estate and rental and leasing","Estimate; Public transportation (excluding taxicab): - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Public transportation (excluding taxicab): - Professional, scientific, and management, and administrative and waste management services","Estimate; Public transportation (excluding taxicab): - Educational services, and health care and social assistance","Margin of Error; Public transportation (excluding taxicab): - Educational services, and health care and social assistance","Estimate; Public transportation (excluding taxicab): - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Public transportation (excluding taxicab): - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Public transportation (excluding taxicab): - Other services (except public administration),Margin of Error; Public transportation (excluding taxicab): - Other services (except public administration),Estimate; Public transportation (excluding taxicab): - Public administration,Margin of Error; Public transportation (excluding taxicab): - Public administration,Estimate; Public transportation (excluding taxicab): - Armed forces,Margin of Error; Public transportation (excluding taxicab): - Armed forces,Estimate; Walked:,Margin of Error; Walked:,"Estimate; Walked: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Walked: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Walked: - Construction,Margin of Error; Walked: - Construction,Estimate; Walked: - Manufacturing,Margin of Error; Walked: - Manufacturing,Estimate; Walked: - Wholesale trade,Margin of Error; Walked: - Wholesale trade,Estimate; Walked: - Retail trade,Margin of Error; Walked: - Retail trade,"Estimate; Walked: - Transportation and warehousing, and utilities","Margin of Error; Walked: - Transportation and warehousing, and utilities",Estimate; Walked: - Information,Margin of Error; Walked: - Information,"Estimate; Walked: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Walked: - Finance and insurance, and real estate and rental and leasing","Estimate; Walked: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Walked: - Professional, scientific, and management, and administrative and waste management services","Estimate; Walked: - Educational services, and health care and social assistance","Margin of Error; Walked: - Educational services, and health care and social assistance","Estimate; Walked: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Walked: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Walked: - Other services (except public administration),Margin of Error; Walked: - Other services (except public administration),Estimate; Walked: - Public administration,Margin of Error; Walked: - Public administration,Estimate; Walked: - Armed forces,Margin of Error; Walked: - Armed forces,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Agriculture, forestry, fishing and hunting, and mining","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction","Estimate; Taxicab, motorcycle, bicycle, or other means: - Manufacturing","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Manufacturing","Estimate; Taxicab, motorcycle, bicycle, or other means: - Wholesale trade","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Wholesale trade","Estimate; Taxicab, motorcycle, bicycle, or other means: - Retail trade","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Retail trade","Estimate; Taxicab, motorcycle, bicycle, or other means: - Transportation and warehousing, and utilities","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Transportation and warehousing, and utilities","Estimate; Taxicab, motorcycle, bicycle, or other means: - Information","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Information","Estimate; Taxicab, motorcycle, bicycle, or other means: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Finance and insurance, and real estate and rental and leasing","Estimate; Taxicab, motorcycle, bicycle, or other means: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Professional, scientific, and management, and administrative and waste management services","Estimate; Taxicab, motorcycle, bicycle, or other means: - Educational services, and health care and social assistance","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Educational services, and health care and social assistance","Estimate; Taxicab, motorcycle, bicycle, or other means: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Arts, entertainment, and recreation, and accommodation and food services","Estimate; Taxicab, motorcycle, bicycle, or other means: - Other services (except public administration)","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Other services (except public administration)","Estimate; Taxicab, motorcycle, bicycle, or other means: - Public administration","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Public administration","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:,Margin of Error; Worked at home:,"Estimate; Worked at home: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Worked at home: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Worked at home: - Construction,Margin of Error; Worked at home: - Construction,Estimate; Worked at home: - Manufacturing,Margin of Error; Worked at home: - Manufacturing,Estimate; Worked at home: - Wholesale trade,Margin of Error; Worked at home: - Wholesale trade,Estimate; Worked at home: - Retail trade,Margin of Error; Worked at home: - Retail trade,"Estimate; Worked at home: - Transportation and warehousing, and utilities","Margin of Error; Worked at home: - Transportation and warehousing, and utilities",Estimate; Worked at home: - Information,Margin of Error; Worked at home: - Information,"Estimate; Worked at home: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Worked at home: - Finance and insurance, and real estate and rental and leasing","Estimate; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Estimate; Worked at home: - Educational services, and health care and social assistance","Margin of Error; Worked at home: - Educational services, and health care and social assistance","Estimate; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Worked at home: - Other services (except public administration),Margin of Error; Worked at home: - Other services (except public administration),Estimate; Worked at home: - Public administration,Margin of Error; Worked at home: - Public administration,Estimate; Worked at home: - Armed forces,Margin of Error; Worked at home: - Armed forces
0400000US01,01,Alabama,2018956,15858,33300,3323,157111,7366,292885,9191,65570,4036,247132,9129,110967,5691,38016,3284,109366,5330,170102,8336,414836,8623,147719,6347,104454,5664,110665,5632,16833,1855,1677420,17355,22726,2363,113583,6308,244289,8165,55634,3805,214372,8418,92685,5261,32122,2940,96366,5107,137149,7197,354293,8307,118257,5709,85217,5078,98994,5175,11733,1789,236895,9426,4547,1463,35677,3704,39769,3730,5884,1333,21401,2681,12363,2084,4071,1160,7770,1521,19391,2505,42251,3879,20208,2632,11343,1943,9470,1421,2750,1020,10200,1839,123,217,153,190,1092,665,297,407,757,390,707,451,0,271,640,532,536,402,3183,803,1720,913,279,188,661,449,52,87,25896,3269,1135,551,1083,578,1575,652,400,352,4342,1136,558,345,339,283,921,554,1146,568,5554,1331,3395,1206,2959,889,528,689,1961,851,21446,2361,522,338,2176,893,2523,753,737,508,2131,885,2952,929,158,162,691,455,2360,814,3361,834,2614,1235,655,354,328,234,238,160,47099,3439,4247,1128,4439,1583,3637,1019,2618,701,4129,989,1702,771,1326,603,2978,889,9520,1443,6194,1238,1525,500,4001,1008,684,413,99,182
0400000US02,02,Alaska,346972,5192,17944,2490,29189,3183,14604,2118,8424,1518,37694,3381,23752,2080,7097,1450,16932,2102,27403,2751,68532,3947,26584,2915,15234,2233,34630,3081,18953,3151,226782,5878,8814,1776,18943,2828,5947,1282,5937,1399,26240,2796,17204,1830,5547,1378,12964,1635,18306,2110,44843,3446,15643,2145,9207,1667,24329,2608,12858,2201,49545,3950,1792,600,5250,1499,1411,638,790,531,5728,1496,2992,914,1081,397,2349,891,3120,944,11095,1848,3770,1170,2890,967,4970,1116,2307,769,5959,1351,707,411,419,321,415,400,0,271,785,535,93,95,152,186,0,271,132,131,1258,516,1375,641,303,256,204,185,116,175,25021,2224,1456,607,1069,485,2115,709,420,290,1811,611,1187,449,71,56,788,437,1873,832,6351,1016,4053,1456,1120,657,2213,492,494,364,19467,1977,4393,942,1941,654,551,267,797,573,1659,490,1530,497,114,106,389,212,937,424,2380,596,749,346,851,703,2490,775,686,422,20198,3521,782,465,1567,767,4165,1277,480,426,1471,658,746,294,132,129,442,366,3035,1053,2605,788,994,500,863,448,424,327,2492,2255
0400000US04,04,Arizona,2873827,16529,36724,3698,275333,10040,212129,7432,73463,4756,364296,11754,143091,7979,55656,4876,232159,9809,310364,10530,559129,12002,291423,11686,143058,7252,154746,6679,22256,2493,2165002,20637,23361,2591,189104,8488,167155,5859,57782,4291,287408,11530,115128,6874,41888,4286,184463,8136,209905,9029,439727,10951,204381,9901,104468,6439,124356,6297,15876,2102,377077,13363,8117,2446,61069,5151,26539,2800,8235,2288,37241,3959,14164,2163,5694,1524,20438,2927,46127,4840,63961,5248,43152,4923,18753,2745,19633,2253,3954,1434,66779,5663,1286,731,2948,990,3844,1088,1070,814,11066,2115,2000,796,1697,946,1695,798,8368,2357,9992,1705,14701,3166,4494,1505,3618,1003,0,271,53643,4575,665,594,2902,1097,2358,875,726,484,8927,1681,1313,619,1386,663,4149,1181,4362,1237,11146,1691,10110,2083,1876,606,2121,757,1602,623,70304,5582,769,584,6245,1834,5020,1274,1253,670,9097,2040,5693,1233,993,538,2790,1065,7143,1614,11792,2046,12415,2927,3328,1257,3087,859,679,433,141022,6203,2526,1047,13065,2478,7213,1682,4397,1242,10557,1832,4793,1661,3998,997,18624,2433,34459,3807,22511,2846,6664,1444,10139,2259,1931,739,145,136
0400000US05,05,Arkansas,1258196,11855,38470,3081,91070,5046,196033,6844,35513,3404,168215,6751,76367,4578,22736,2920,65056,4354,83486,4638,267119,6819,91661,5350,61222,4558,55120,4033,6128,1649,1007134,12588,26156,2467,63561,3794,157827,5470,30022,3014,140143,6332,64990,4346,17856,2609,54884,3650,62269,3834,217702,6362,69595,4695,48120,3606,48793,3704,5216,1314,160012,7223,5307,1304,19021,2564,29387,3096,3699,1101,20223,2521,5620,1207,2812,1040,5638,1678,10442,1836,32148,2541,13217,2495,6738,1758,5088,1256,672,494,5539,1494,0,271,288,266,583,390,0,271,343,304,71,109,0,271,0,271,876,687,1591,677,1113,717,592,545,82,132,0,271,25347,2724,2009,791,1415,1002,2188,1011,307,268,3020,1040,623,480,508,464,1808,801,688,404,6286,1121,4381,1587,1887,693,161,133,66,110,18936,2242,1454,738,1602,597,3531,988,379,320,1625,680,3034,838,452,367,195,239,1311,663,2619,765,1938,748,321,274,343,218,132,142,41228,3842,3544,816,5183,1612,2517,702,1106,542,2861,733,2029,772,1108,587,2531,845,7900,1715,6773,1239,1417,605,3564,1064,653,293,42,69
0400000US06,06,California,16811097,46380,341525,12949,1187104,21365,1758272,19739,557897,11747,1867906,23209,811477,16166,507011,12679,1112707,19147,2009820,23001,3301890,32332,1570810,26310,878889,16293,747777,14000,158012,6645,12228747,47546,190099,7689,836605,17461,1322337,17794,413766,10399,1408009,18517,643716,13896,382890,10247,822979,16719,1370371,17170,2491365,27848,1068794,18867,605611,12385,574884,13238,97321,7944,2009386,26836,98467,8964,226305,10588,237359,10501,72541,5422,193824,7367,81116,4959,43360,4082,92620,5419,231814,9051,346353,10583,177949,7910,105977,7242,82559,4861,19142,2871,884770,18628,6336,1717,38364,3865,84252,6427,18551,2487,102709,6426,31273,4696,26616,3129,60608,3717,129523,7015,134730,7356,136700,7357,65287,5026,45591,2962,4230,1929,469555,12678,11434,2586,16821,3206,23579,2751,5515,1376,65219,4655,9884,1755,10213,1477,32759,2743,41551,3229,108140,7179,85856,5670,28933,3145,9722,1802,19929,3344,413382,12328,17783,3617,25937,3315,41506,4004,12655,2233,45802,3868,23063,2546,12664,2170,15454,2650,51098,4009,71298,5051,53512,5473,21526,3146,15182,2043,5902,1369,805257,18388,17406,2442,43072,4242,49239,3409,34869,4033,52343,3529,22425,2830,31268,3462,88287,5719,185463,7137,150004,6956,47999,4140,51555,4528,19839,2430,11488,3667
0400000US08,08,Colorado,2540846,14808,57977,3813,238895,9149,188042,6408,76924,3622,287218,8594,119726,4873,82218,5351,184682,7250,332685,9512,461673,9762,243030,9680,126958,6839,115258,5709,25560,2007,1874591,14975,36593,2729,164968,6834,141363,5360,60896,3447,224516,7476,96979,4328,61243,4630,140895,6488,219964,7040,358332,8851,169198,8422,93160,6082,90092,4969,16392,1793,285782,11489,9502,1654,51113,4956,24052,3044,6927,1404,27839,3319,11074,1775,7164,1519,13871,2050,34572,3941,45148,3823,27374,3503,12255,1981,12651,2106,2240,971,87436,5960,2922,1051,4656,1429,3411,1032,1891,662,9964,2087,3231,963,3331,842,5226,1055,13760,2137,11681,2121,17503,2664,3839,1166,6021,1228,0,271,68484,4611,2095,772,3261,1295,2153,800,693,406,9111,1998,1121,638,1484,656,4345,1213,7389,1495,14024,1934,12249,1964,4330,1352,1542,583,4687,1075,62982,4016,606,333,4330,1521,5456,1157,1074,488,6506,1305,3793,949,1242,409,3362,901,12335,1946,10926,1676,7940,1492,2577,654,2743,741,92,150,161571,5613,6259,1290,10567,1876,11607,1954,5443,1382,9282,1866,3528,1269,7754,1563,16983,2210,44665,3229,21562,2190,8766,1848,10797,1799,2209,654,2149,882
0400000US09,09,Connecticut,1735519,14783,6479,1388,107548,7010,212208,7885,43946,3003,200599,7592,64831,4410,42382,2962,168772,6504,182249,6379,413361,10543,142273,7208,78707,4348,66148,4087,6016,1213,1381582,13655,3288,867,81661,5796,179416,6837,38368,2895,154830,6742,54786,3733,34249,2785,136781,5820,137385,5618,337587,9325,97482,5574,61909,3848,59491,4053,4349,1027,154966,7185,1150,470,17427,2309,19153,2413,2617,835,20209,2296,4849,1132,1817,648,9922,1492,15098,2233,33786,2627,17053,2248,6913,1650,4392,1198,580,412,56238,4431,103,124,2042,942,4419,1050,355,292,8553,1638,1416,1029,1321,549,8688,1431,4653,1171,10699,1927,10563,1881,2713,784,606,337,107,181,49970,4139,1114,653,965,496,2110,771,429,240,8596,1702,1134,406,1222,609,2300,713,3795,1001,16175,2153,8637,1527,2485,855,464,249,544,234,21862,2635,53,89,1087,761,2961,986,573,368,3273,1005,1205,558,520,468,942,488,3365,1379,3583,930,3296,1046,587,373,259,189,158,155,70901,4363,771,450,4366,1291,4149,1009,1604,583,5138,1246,1441,679,3253,873,10139,1548,17953,2036,11531,1773,5242,1811,4100,1187,936,432,278,199
0400000US10,10,Delaware,425838,7387,3179,963,31378,2636,42385,2854,8801,1367,56793,4066,17343,2515,9316,1681,49414,3406,44589,3717,88536,4451,32034,3146,16580,1841,19814,2334,5676,1688,338563,7670,1677,588,22378,2252,34442,2528,7682,1233,45675,3697,14878,2487,7803,1533,40270,2886,33329,3093,72195,3963,25116,2844,12624,1607,16003,2024,4491,1213,44360,3589,451,267,7281,1477,3852,991,571,318,4610,1261,1729,780,670,362,4559,1156,4499,1474,7818,1428,3332,924,1642,540,2248,672,1098,1098,13946,2352,11,20,67,82,1461,884,0,271,2882,1155,64,106,525,448,1924,768,2277,966,2453,924,1166,611,532,442,584,343,0,271,9326,1606,311,283,402,354,458,237,9,15,1444,644,52,85,50,67,1137,566,610,459,2958,1190,1255,501,428,371,195,174,17,50,7126,1335,258,364,636,334,1086,470,300,323,1039,491,488,318,0,271,215,211,417,388,1115,487,820,513,398,309,354,360,0,271,12517,1613,471,427,614,444,1086,451,239,191,1143,550,132,137,268,209,1309,581,3457,786,1997,605,345,288,956,426,430,264,70,84
0400000US11,11,District of Columbia,756816,11962,1062,558,29478,3485,10669,1581,4340,1027,24109,2546,29043,2849,30927,2925,39800,3506,145475,6684,122650,5865,55320,4320,58401,4113,191460,6528,14082,2147,339323,9050,400,348,16859,2444,5443,1286,3205,966,10293,1785,16767,2263,13344,2058,18189,2235,57861,3907,66389,4626,21487,2553,20685,2526,80304,4474,8097,1829,79993,5083,109,131,6047,1470,933,507,308,278,2090,729,3076,954,2616,624,4193,905,12101,1833,10523,1597,5089,1725,6292,1333,24655,2498,1961,828,268924,8956,463,370,5331,1194,3624,860,212,212,8432,1526,7575,1628,12157,1832,13649,2181,61309,4536,32959,3130,20503,2894,24311,2463,75751,5020,2648,745,37007,3226,0,271,813,685,87,102,52,88,2098,946,357,282,1196,587,1938,751,6419,1170,8360,1796,4561,1278,4352,922,6631,1416,143,147,17485,2537,90,111,255,251,394,288,132,159,585,525,1120,585,817,390,618,533,2860,939,2215,863,2214,834,1572,534,3697,1228,916,521,14084,1723,0,271,173,143,188,186,431,412,611,361,148,127,797,442,1213,464,4925,918,2204,787,1466,574,1189,522,422,345,317,232
