GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD03,"Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD04,Estimate; Total: - Construction
HD02_VD04,Margin of Error; Total: - Construction
HD01_VD05,Estimate; Total: - Manufacturing
HD02_VD05,Margin of Error; Total: - Manufacturing
HD01_VD06,Estimate; Total: - Wholesale trade
HD02_VD06,Margin of Error; Total: - Wholesale trade
HD01_VD07,Estimate; Total: - Retail trade
HD02_VD07,Margin of Error; Total: - Retail trade
HD01_VD08,"Estimate; Total: - Transportation and warehousing, and utilities"
HD02_VD08,"Margin of Error; Total: - Transportation and warehousing, and utilities"
HD01_VD09,Estimate; Total: - Information
HD02_VD09,Margin of Error; Total: - Information
HD01_VD10,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing"
HD02_VD10,"Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing"
HD01_VD11,"Estimate; Total: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD11,"Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD12,"Estimate; Total: - Educational services, and health care and social assistance"
HD02_VD12,"Margin of Error; Total: - Educational services, and health care and social assistance"
HD01_VD13,"Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD13,"Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD14,Estimate; Total: - Other services (except public administration)
HD02_VD14,Margin of Error; Total: - Other services (except public administration)
HD01_VD15,Estimate; Total: - Public administration
HD02_VD15,Margin of Error; Total: - Public administration
HD01_VD16,Estimate; Total: - Armed forces
HD02_VD16,Margin of Error; Total: - Armed forces
HD01_VD17,"Estimate; Total: - Car, truck, or van - drove alone:"
HD02_VD17,"Margin of Error; Total: - Car, truck, or van - drove alone:"
HD01_VD18,"Estimate; Total: - Car, truck, or van - drove alone: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD18,"Margin of Error; Total: - Car, truck, or van - drove alone: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD19,"Estimate; Total: - Car, truck, or van - drove alone: - Construction"
HD02_VD19,"Margin of Error; Total: - Car, truck, or van - drove alone: - Construction"
HD01_VD20,"Estimate; Total: - Car, truck, or van - drove alone: - Manufacturing"
HD02_VD20,"Margin of Error; Total: - Car, truck, or van - drove alone: - Manufacturing"
HD01_VD21,"Estimate; Total: - Car, truck, or van - drove alone: - Wholesale trade"
HD02_VD21,"Margin of Error; Total: - Car, truck, or van - drove alone: - Wholesale trade"
HD01_VD22,"Estimate; Total: - Car, truck, or van - drove alone: - Retail trade"
HD02_VD22,"Margin of Error; Total: - Car, truck, or van - drove alone: - Retail trade"
HD01_VD23,"Estimate; Total: - Car, truck, or van - drove alone: - Transportation and warehousing, and utilities"
HD02_VD23,"Margin of Error; Total: - Car, truck, or van - drove alone: - Transportation and warehousing, and utilities"
HD01_VD24,"Estimate; Total: - Car, truck, or van - drove alone: - Information"
HD02_VD24,"Margin of Error; Total: - Car, truck, or van - drove alone: - Information"
HD01_VD25,"Estimate; Total: - Car, truck, or van - drove alone: - Finance and insurance, and real estate and rental and leasing"
HD02_VD25,"Margin of Error; Total: - Car, truck, or van - drove alone: - Finance and insurance, and real estate and rental and leasing"
HD01_VD26,"Estimate; Total: - Car, truck, or van - drove alone: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD26,"Margin of Error; Total: - Car, truck, or van - drove alone: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD27,"Estimate; Total: - Car, truck, or van - drove alone: - Educational services, and health care and social assistance"
HD02_VD27,"Margin of Error; Total: - Car, truck, or van - drove alone: - Educational services, and health care and social assistance"
HD01_VD28,"Estimate; Total: - Car, truck, or van - drove alone: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD28,"Margin of Error; Total: - Car, truck, or van - drove alone: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD29,"Estimate; Total: - Car, truck, or van - drove alone: - Other services (except public administration)"
HD02_VD29,"Margin of Error; Total: - Car, truck, or van - drove alone: - Other services (except public administration)"
HD01_VD30,"Estimate; Total: - Car, truck, or van - drove alone: - Public administration"
HD02_VD30,"Margin of Error; Total: - Car, truck, or van - drove alone: - Public administration"
HD01_VD31,"Estimate; Total: - Car, truck, or van - drove alone: - Armed forces"
HD02_VD31,"Margin of Error; Total: - Car, truck, or van - drove alone: - Armed forces"
HD01_VD32,"Estimate; Total: - Car, truck, or van - carpooled:"
HD02_VD32,"Margin of Error; Total: - Car, truck, or van - carpooled:"
HD01_VD33,"Estimate; Total: - Car, truck, or van - carpooled: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD33,"Margin of Error; Total: - Car, truck, or van - carpooled: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD34,"Estimate; Total: - Car, truck, or van - carpooled: - Construction"
HD02_VD34,"Margin of Error; Total: - Car, truck, or van - carpooled: - Construction"
HD01_VD35,"Estimate; Total: - Car, truck, or van - carpooled: - Manufacturing"
HD02_VD35,"Margin of Error; Total: - Car, truck, or van - carpooled: - Manufacturing"
HD01_VD36,"Estimate; Total: - Car, truck, or van - carpooled: - Wholesale trade"
HD02_VD36,"Margin of Error; Total: - Car, truck, or van - carpooled: - Wholesale trade"
HD01_VD37,"Estimate; Total: - Car, truck, or van - carpooled: - Retail trade"
HD02_VD37,"Margin of Error; Total: - Car, truck, or van - carpooled: - Retail trade"
HD01_VD38,"Estimate; Total: - Car, truck, or van - carpooled: - Transportation and warehousing, and utilities"
HD02_VD38,"Margin of Error; Total: - Car, truck, or van - carpooled: - Transportation and warehousing, and utilities"
HD01_VD39,"Estimate; Total: - Car, truck, or van - carpooled: - Information"
HD02_VD39,"Margin of Error; Total: - Car, truck, or van - carpooled: - Information"
HD01_VD40,"Estimate; Total: - Car, truck, or van - carpooled: - Finance and insurance, and real estate and rental and leasing"
HD02_VD40,"Margin of Error; Total: - Car, truck, or van - carpooled: - Finance and insurance, and real estate and rental and leasing"
HD01_VD41,"Estimate; Total: - Car, truck, or van - carpooled: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD41,"Margin of Error; Total: - Car, truck, or van - carpooled: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD42,"Estimate; Total: - Car, truck, or van - carpooled: - Educational services, and health care and social assistance"
HD02_VD42,"Margin of Error; Total: - Car, truck, or van - carpooled: - Educational services, and health care and social assistance"
