GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van - drove alone","Margin of Error; Total: - Car, truck, or van - drove alone","Estimate; Total: - Car, truck, or van - carpooled","Margin of Error; Total: - Car, truck, or van - carpooled",Estimate; Total: - Public transportation (excluding taxicab),Margin of Error; Total: - Public transportation (excluding taxicab),Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
0400000US01,01,Alabama,41.3,0.3,41.6,0.2,37.8,0.7,36.6,3.7,37.6,3.2,41.0,3.1,47.1,1.2
0400000US02,02,Alaska,41.4,0.5,42.3,0.6,36.3,2.0,42.5,7.2,38.7,2.1,43.5,2.4,44.4,2.4
0400000US04,04,Arizona,39.2,0.2,40.1,0.3,34.7,0.7,33.5,2.5,32.5,2.1,33.8,2.0,45.4,0.9
0400000US05,05,Arkansas,41.0,0.3,41.6,0.3,36.9,0.9,41.1,6.6,40.1,4.8,40.3,2.6,47.6,1.7
0400000US06,06,California,40.0,0.1,40.6,0.1,36.4,0.3,37.3,0.5,33.8,0.8,36.5,0.5,45.8,0.3
0400000US08,08,Colorado,40.5,0.2,41.0,0.3,36.3,0.6,37.2,1.7,33.4,1.2,37.4,1.6,46.0,0.8
0400000US09,09,Connecticut,42.7,0.2,43.3,0.2,38.7,1.2,40.4,2.2,31.5,2.4,36.2,2.0,48.0,1.0
0400000US10,10,Delaware,41.3,0.4,41.7,0.5,36.1,1.6,42.7,4.6,34.3,5.0,39.2,12.8,48.7,3.3
0400000US11,11,District of Columbia,42.2,0.4,43.9,0.5,43.1,1.1,40.7,0.7,31.5,0.9,41.6,2.3,42.7,3.8
0400000US12,12,Florida,41.5,0.2,42.1,0.2,37.2,0.5,39.0,1.8,35.7,1.7,36.8,0.9,46.9,0.6
0400000US13,13,Georgia,40.2,0.1,40.7,0.2,36.7,0.6,40.6,1.1,31.7,2.2,34.8,2.1,43.2,0.7
0400000US15,15,Hawaii,40.9,0.3,41.2,0.5,40.1,1.0,42.3,2.7,30.7,2.0,36.4,1.8,48.2,2.5
0400000US16,16,Idaho,39.8,0.3,40.1,0.4,36.5,1.0,43.4,4.5,33.0,4.6,38.8,2.6,48.7,1.9
0400000US17,17,Illinois,41.0,0.2,41.6,0.2,38.3,0.5,38.6,0.5,34.5,1.5,39.1,1.5,45.7,0.6
0400000US18,18,Indiana,41.3,0.2,41.8,0.2,37.6,0.8,35.5,4.7,36.3,1.9,37.3,2.0,44.8,0.9
0400000US19,19,Iowa,41.8,0.2,42.2,0.2,37.7,0.7,32.7,3.6,34.0,3.2,39.5,1.9,47.5,1.0
0400000US20,20,Kansas,41.5,0.3,41.9,0.2,38.6,0.7,35.6,7.8,37.3,2.6,38.9,3.1,46.6,1.3
0400000US21,21,Kentucky,40.8,0.2,41.2,0.3,37.1,0.8,41.3,2.9,32.1,2.8,38.9,1.9,46.0,1.4
0400000US22,22,Louisiana,40.9,0.3,41.4,0.3,36.6,1.2,38.7,3.0,38.1,2.2,37.7,3.0,48.4,1.5
0400000US23,23,Maine,43.3,0.3,43.9,0.3,38.0,1.1,38.1,8.2,36.3,3.2,38.8,1.4,48.1,1.5
0400000US24,24,Maryland,41.6,0.2,42.2,0.2,37.6,0.8,38.0,1.4,32.7,2.5,38.0,1.8,46.5,0.9
0400000US25,25,Massachusetts,42.0,0.2,43.2,0.2,38.8,1.0,35.9,0.5,31.4,0.9,37.0,1.8,46.3,0.7
0400000US26,26,Michigan,41.4,0.2,41.8,0.2,38.2,0.5,38.1,1.8,33.5,1.8,38.7,1.3,46.5,0.7
0400000US27,27,Minnesota,41.4,0.1,41.8,0.2,37.9,0.5,38.4,1.1,34.8,1.9,37.6,2.5,46.6,0.7
0400000US28,28,Mississippi,41.0,0.3,41.4,0.3,37.8,1.1,36.0,7.7,37.2,3.0,37.2,2.7,45.6,2.0
0400000US29,29,Missouri,41.3,0.2,41.6,0.2,37.6,0.6,42.0,2.2,35.2,1.5,38.4,2.1,45.6,0.8
0400000US30,30,Montana,43.0,0.3,43.5,0.4,39.9,1.4,45.5,4.6,35.7,3.6,35.0,3.0,47.1,2.4
0400000US31,31,Nebraska,41.7,0.3,41.8,0.3,37.0,1.2,39.7,5.9,41.0,3.0,43.6,2.6,47.6,1.3
0400000US32,32,Nevada,40.3,0.3,40.8,0.3,36.1,0.7,38.1,2.1,36.4,3.2,37.9,2.9,48.0,2.1
0400000US33,33,New Hampshire,42.7,0.4,43.2,0.3,37.7,1.4,39.3,8.7,34.3,5.6,41.7,4.9,47.6,1.9
0400000US34,34,New Jersey,42.3,0.2,43.1,0.2,38.3,0.5,38.6,0.7,38.0,1.1,36.7,1.0,46.9,0.8
0400000US35,35,New Mexico,41.3,0.3,41.4,0.4,37.6,1.0,42.9,4.7,37.3,2.2,39.4,3.8,49.1,1.3
0400000US36,36,New York,41.6,0.2,43.2,0.1,39.9,0.5,39.5,0.2,36.9,0.5,39.0,0.8,46.3,0.4
0400000US37,37,North Carolina,40.7,0.1,41.3,0.2,36.8,0.5,34.0,3.1,32.1,1.3,37.7,2.3,45.0,0.7
0400000US38,38,North Dakota,41.2,0.4,40.8,0.4,38.2,1.7,41.6,12.6,43.3,3.1,41.7,5.1,48.5,1.1
0400000US39,39,Ohio,41.8,0.2,42.3,0.1,37.3,0.6,38.9,1.3,30.6,1.5,37.9,1.7,46.3,0.6
0400000US40,40,Oklahoma,41.0,0.2,41.6,0.3,36.8,0.7,40.5,8.3,32.5,3.1,37.5,1.7,48.7,1.4
0400000US41,41,Oregon,41.3,0.3,42.3,0.3,37.1,0.9,37.3,1.0,34.0,2.6,35.4,1.4,47.1,0.7
0400000US42,42,Pennsylvania,42.6,0.2,43.4,0.1,38.5,0.5,39.7,0.9,34.7,1.2,35.8,1.1,47.3,0.7
0400000US44,44,Rhode Island,41.4,0.4,42.1,0.5,38.0,1.5,36.7,4.9,24.0,3.9,34.8,4.1,44.8,2.2
0400000US45,45,South Carolina,41.1,0.2,41.7,0.2,37.5,0.9,40.3,2.5,32.6,2.8,37.7,1.4,43.7,2.0
0400000US46,46,South Dakota,42.4,0.4,42.1,0.4,38.9,1.4,38.4,12.0,41.4,1.6,42.8,3.7,50.0,2.2
0400000US47,47,Tennessee,41.2,0.2,41.5,0.2,37.5,0.7,44.9,2.1,35.7,2.6,39.7,2.1,46.4,1.2
0400000US48,48,Texas,39.8,0.2,40.3,0.1,36.1,0.3,38.8,0.8,34.6,1.3,37.0,1.0,45.8,0.4
0400000US49,49,Utah,36.2,0.2,36.8,0.3,32.5,1.1,34.0,3.1,27.6,1.5,34.6,2.1,40.7,1.1
0400000US50,50,Vermont,43.6,0.3,44.2,0.4,37.9,1.3,34.6,7.7,37.7,2.4,39.3,5.3,50.1,1.0
0400000US51,51,Virginia,41.2,0.2,41.8,0.2,36.9,0.6,40.8,0.9,28.4,1.6,38.5,1.4,43.8,0.8
0400000US53,53,Washington,41.2,0.2,41.7,0.2,37.9,0.5,38.2,1.0,32.7,1.6,39.2,1.8,47.0,0.6
0400000US54,54,West Virginia,42.3,0.3,42.7,0.3,38.9,1.2,43.0,3.4,40.4,1.7,39.5,5.8,47.1,1.9
0400000US55,55,Wisconsin,41.7,0.2,42.1,0.2,38.7,0.6,36.2,1.7,35.1,2.3,39.4,2.0,46.8,0.7
0400000US56,56,Wyoming,42.2,0.5,42.6,0.7,37.6,1.6,45.9,7.2,44.1,6.6,36.7,6.0,50.2,2.2
0400000US72,72,Puerto Rico,39.1,0.3,38.7,0.3,39.5,0.8,39.7,2.3,42.7,1.5,38.1,2.4,44.2,1.3
