GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van - drove alone","Margin of Error; Total: - Car, truck, or van - drove alone","Estimate; Total: - Car, truck, or van - carpooled","Margin of Error; Total: - Car, truck, or van - carpooled",Estimate; Total: - Public transportation (excluding taxicab),Margin of Error; Total: - Public transportation (excluding taxicab),Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
0400000US01,01,Alabama,41.7,0.2,42.1,0.3,38.1,0.8,40.3,5.4,36.6,3.0,36.8,2.9,47.8,2.4
0400000US02,02,Alaska,41.2,0.5,42.0,0.6,37.3,2.2,42.0,3.7,37.5,2.0,40.8,2.9,48.5,2.2
0400000US04,04,Arizona,40.1,0.2,40.4,0.2,36.5,0.6,37.3,1.8,33.8,2.0,36.8,1.9,47.3,0.9
0400000US05,05,Arkansas,41.3,0.3,41.8,0.3,38.5,0.8,40.7,5.0,39.1,4.3,38.3,2.6,46.7,1.8
0400000US06,06,California,40.8,0.1,41.3,0.2,38.9,0.3,37.8,0.5,34.6,0.8,36.2,0.7,46.4,0.3
0400000US08,08,Colorado,41.0,0.1,41.5,0.2,37.6,0.8,37.4,1.3,31.2,1.1,35.2,1.2,47.5,0.5
0400000US09,09,Connecticut,43.7,0.2,44.4,0.2,39.1,1.1,35.2,2.0,27.4,2.4,37.5,5.7,49.4,1.1
0400000US10,10,Delaware,42.2,0.4,42.7,0.4,36.6,2.3,41.8,5.9,29.6,3.2,42.8,6.4,49.7,2.6
0400000US11,11,District of Columbia,42.4,0.4,44.6,0.7,42.5,1.1,39.9,0.7,33.8,1.4,42.6,2.9,44.4,2.0
0400000US12,12,Florida,42.3,0.2,42.8,0.2,38.5,0.5,37.7,1.7,37.1,2.8,38.4,1.4,47.0,0.7
0400000US13,13,Georgia,40.7,0.2,41.4,0.2,37.9,0.6,38.5,1.5,30.1,1.7,39.0,1.2,42.6,0.6
0400000US15,15,Hawaii,41.3,0.4,41.3,0.5,40.7,1.7,41.8,2.8,36.0,2.3,36.2,3.1,51.2,3.6
0400000US16,16,Idaho,40.4,0.4,40.5,0.4,36.3,1.3,44.7,3.8,32.9,5.7,38.7,3.7,46.5,2.1
0400000US17,17,Illinois,41.5,0.2,42.5,0.2,38.9,0.4,37.3,0.5,33.1,1.3,37.3,1.5,46.0,0.5
0400000US18,18,Indiana,42.0,0.2,42.5,0.2,38.4,0.7,37.2,2.8,31.1,3.4,37.1,2.9,47.5,1.1
0400000US19,19,Iowa,42.1,0.3,42.8,0.3,38.7,0.9,31.3,2.0,30.5,2.3,39.7,2.3,47.7,1.1
0400000US20,20,Kansas,41.5,0.3,42.1,0.3,37.4,0.8,38.4,4.4,30.6,4.5,35.0,3.1,47.1,0.9
0400000US21,21,Kentucky,41.1,0.2,41.5,0.3,37.5,0.9,40.4,1.5,28.2,3.8,39.6,2.9,47.1,1.3
0400000US22,22,Louisiana,40.9,0.2,41.4,0.2,37.7,0.9,38.0,1.9,34.4,2.4,39.4,4.0,46.5,2.0
0400000US23,23,Maine,44.0,0.3,44.5,0.4,39.5,2.1,35.4,16.3,33.3,2.7,37.9,5.0,48.0,1.4
0400000US24,24,Maryland,42.6,0.2,43.4,0.2,39.2,0.8,37.4,1.3,29.9,1.6,39.3,1.4,47.2,1.0
0400000US25,25,Massachusetts,42.9,0.1,44.4,0.2,40.4,0.6,35.4,0.6,31.0,1.0,33.6,1.1,46.9,1.0
0400000US26,26,Michigan,42.3,0.2,42.7,0.2,39.6,0.5,35.9,1.6,29.6,1.4,39.8,2.4,46.1,0.6
0400000US27,27,Minnesota,42.0,0.2,42.4,0.2,38.7,0.7,37.9,1.2,34.9,2.5,37.7,2.6,46.9,0.8
0400000US28,28,Mississippi,41.2,0.2,41.4,0.3,38.6,0.8,42.8,5.3,35.3,4.2,43.0,5.4,45.5,2.1
0400000US29,29,Missouri,41.9,0.2,42.3,0.2,38.6,0.7,42.4,2.7,33.1,3.1,37.5,2.3,45.9,0.8
0400000US30,30,Montana,43.4,0.4,44.0,0.5,38.4,1.2,44.3,7.1,38.9,3.0,31.8,3.3,47.8,1.4
0400000US31,31,Nebraska,41.4,0.3,41.8,0.4,37.1,1.4,39.5,4.0,33.1,2.7,38.5,3.9,48.5,1.4
0400000US32,32,Nevada,40.7,0.2,40.7,0.3,38.6,0.9,38.8,2.3,36.5,3.3,40.8,1.9,47.5,2.2
0400000US33,33,New Hampshire,43.8,0.4,44.2,0.3,39.7,1.8,27.3,7.6,28.5,4.5,35.8,5.5,49.1,1.3
0400000US34,34,New Jersey,43.2,0.2,44.1,0.2,39.9,0.6,37.9,0.7,36.4,0.9,37.0,1.2,47.1,0.9
0400000US35,35,New Mexico,41.4,0.4,41.1,0.5,39.1,1.4,45.2,3.1,38.5,5.0,41.2,4.0,50.2,1.6
0400000US36,36,New York,42.6,0.1,44.5,0.1,41.3,0.5,39.4,0.3,38.0,0.7,40.6,0.7,47.1,0.5
0400000US37,37,North Carolina,41.2,0.2,41.8,0.2,37.2,0.6,34.9,2.0,29.3,1.2,40.7,1.4,44.3,0.7
0400000US38,38,North Dakota,41.7,0.4,41.5,0.5,39.4,2.3,43.2,11.2,42.1,4.2,39.2,12.0,49.4,1.5
0400000US39,39,Ohio,42.6,0.2,43.0,0.2,38.6,0.6,39.8,1.5,30.6,1.6,40.6,2.1,46.3,0.6
0400000US40,40,Oklahoma,40.9,0.2,41.5,0.3,37.0,0.8,37.1,1.6,33.5,3.1,38.5,2.2,46.4,1.5
0400000US41,41,Oregon,41.6,0.3,42.7,0.3,37.8,0.8,33.4,1.5,33.7,1.8,36.2,2.1,46.9,1.1
0400000US42,42,Pennsylvania,43.4,0.1,44.2,0.2,39.1,0.5,39.1,0.7,32.7,1.1,37.8,1.8,47.6,0.6
0400000US44,44,Rhode Island,43.0,0.4,43.5,0.4,41.1,2.6,40.6,1.8,27.6,3.8,37.2,9.3,45.9,2.7
0400000US45,45,South Carolina,41.7,0.3,42.4,0.3,38.3,0.8,37.8,6.8,28.8,4.6,35.6,1.1,42.4,1.4
0400000US46,46,South Dakota,42.1,0.5,42.1,0.6,39.3,2.2,37.4,16.9,43.6,2.7,33.8,5.2,48.8,1.2
0400000US47,47,Tennessee,41.7,0.2,41.9,0.3,39.4,0.5,41.1,3.7,36.1,3.3,42.6,2.6,46.7,1.1
0400000US48,48,Texas,40.1,0.1,40.5,0.2,36.9,0.4,39.5,1.0,34.2,1.1,35.8,1.0,45.7,0.5
0400000US49,49,Utah,36.9,0.3,37.5,0.3,34.5,0.9,34.0,2.3,24.8,1.4,32.3,2.0,40.5,1.1
0400000US50,50,Vermont,44.5,0.4,44.9,0.4,41.2,2.3,34.3,7.0,34.4,5.1,39.3,8.6,50.9,1.6
0400000US51,51,Virginia,41.8,0.2,42.3,0.2,39.1,0.8,38.6,1.4,30.1,1.7,37.8,1.2,46.3,1.0
0400000US53,53,Washington,41.5,0.2,42.2,0.3,38.7,0.6,37.5,0.8,32.2,1.4,40.2,1.0,47.7,0.9
0400000US54,54,West Virginia,42.7,0.4,43.1,0.4,40.5,1.0,37.4,4.5,39.0,4.8,36.4,4.6,46.6,1.9
0400000US55,55,Wisconsin,42.3,0.2,42.8,0.2,39.1,0.6,33.3,1.4,28.4,1.8,39.3,2.7,47.3,0.6
0400000US56,56,Wyoming,41.6,0.6,41.4,0.7,39.0,1.6,45.0,5.9,39.6,6.0,39.9,6.1,49.2,2.4
