GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Management, professional, and related occupations"
HD02_VD03,"Margin of Error; Management, professional, and related occupations"
HD01_VD04,Estimate; Service occupations
HD02_VD04,Margin of Error; Service occupations
HD01_VD05,Estimate; Sales and office occupations
HD02_VD05,Margin of Error; Sales and office occupations
HD01_VD06,"Estimate; Farming, fishing, and forestry occupations"
HD02_VD06,"Margin of Error; Farming, fishing, and forestry occupations"
HD01_VD07,"Estimate; Construction and extraction, and maintenance occupations"
HD02_VD07,"Margin of Error; Construction and extraction, and maintenance occupations"
HD01_VD08,"Estimate; Production, transportation, and material moving occupations"
HD02_VD08,"Margin of Error; Production, transportation, and material moving occupations"
HD01_VD09,Estimate; Armed forces
HD02_VD09,Margin of Error; Armed forces
HD01_VD10,"Estimate; Car, truck, or van - drove alone:"
HD02_VD10,"Margin of Error; Car, truck, or van - drove alone:"
HD01_VD11,"Estimate; Car, truck, or van - drove alone: - Management, professional, and related occupations"
HD02_VD11,"Margin of Error; Car, truck, or van - drove alone: - Management, professional, and related occupations"
HD01_VD12,"Estimate; Car, truck, or van - drove alone: - Service occupations"
HD02_VD12,"Margin of Error; Car, truck, or van - drove alone: - Service occupations"
HD01_VD13,"Estimate; Car, truck, or van - drove alone: - Sales and office occupations"
HD02_VD13,"Margin of Error; Car, truck, or van - drove alone: - Sales and office occupations"
HD01_VD14,"Estimate; Car, truck, or van - drove alone: - Farming, fishing, and forestry occupations"
HD02_VD14,"Margin of Error; Car, truck, or van - drove alone: - Farming, fishing, and forestry occupations"
HD01_VD15,"Estimate; Car, truck, or van - drove alone: - Construction and extraction, and maintenance occupations"
HD02_VD15,"Margin of Error; Car, truck, or van - drove alone: - Construction and extraction, and maintenance occupations"
HD01_VD16,"Estimate; Car, truck, or van - drove alone: - Production, transportation, and material moving occupations"
HD02_VD16,"Margin of Error; Car, truck, or van - drove alone: - Production, transportation, and material moving occupations"
HD01_VD17,"Estimate; Car, truck, or van - drove alone: - Armed forces"
HD02_VD17,"Margin of Error; Car, truck, or van - drove alone: - Armed forces"
HD01_VD18,"Estimate; Car, truck, or van - carpooled:"
HD02_VD18,"Margin of Error; Car, truck, or van - carpooled:"
HD01_VD19,"Estimate; Car, truck, or van - carpooled: - Management, professional, and related occupations"
HD02_VD19,"Margin of Error; Car, truck, or van - carpooled: - Management, professional, and related occupations"
HD01_VD20,"Estimate; Car, truck, or van - carpooled: - Service occupations"
HD02_VD20,"Margin of Error; Car, truck, or van - carpooled: - Service occupations"
HD01_VD21,"Estimate; Car, truck, or van - carpooled: - Sales and office occupations"
HD02_VD21,"Margin of Error; Car, truck, or van - carpooled: - Sales and office occupations"
HD01_VD22,"Estimate; Car, truck, or van - carpooled: - Farming, fishing, and forestry occupations"
HD02_VD22,"Margin of Error; Car, truck, or van - carpooled: - Farming, fishing, and forestry occupations"
HD01_VD23,"Estimate; Car, truck, or van - carpooled: - Construction and extraction, and maintenance occupations"
HD02_VD23,"Margin of Error; Car, truck, or van - carpooled: - Construction and extraction, and maintenance occupations"
HD01_VD24,"Estimate; Car, truck, or van - carpooled: - Production, transportation, and material moving occupations"
HD02_VD24,"Margin of Error; Car, truck, or van - carpooled: - Production, transportation, and material moving occupations"
HD01_VD25,"Estimate; Car, truck, or van - carpooled: - Armed forces"
HD02_VD25,"Margin of Error; Car, truck, or van - carpooled: - Armed forces"
HD01_VD26,Estimate; Public transportation (excluding taxicab):
HD02_VD26,Margin of Error; Public transportation (excluding taxicab):
HD01_VD27,"Estimate; Public transportation (excluding taxicab): - Management, professional, and related occupations"
HD02_VD27,"Margin of Error; Public transportation (excluding taxicab): - Management, professional, and related occupations"
HD01_VD28,Estimate; Public transportation (excluding taxicab): - Service occupations
HD02_VD28,Margin of Error; Public transportation (excluding taxicab): - Service occupations
HD01_VD29,Estimate; Public transportation (excluding taxicab): - Sales and office occupations
HD02_VD29,Margin of Error; Public transportation (excluding taxicab): - Sales and office occupations
HD01_VD30,"Estimate; Public transportation (excluding taxicab): - Farming, fishing, and forestry occupations"
HD02_VD30,"Margin of Error; Public transportation (excluding taxicab): - Farming, fishing, and forestry occupations"
HD01_VD31,"Estimate; Public transportation (excluding taxicab): - Construction and extraction, and maintenance occupations"
HD02_VD31,"Margin of Error; Public transportation (excluding taxicab): - Construction and extraction, and maintenance occupations"
HD01_VD32,"Estimate; Public transportation (excluding taxicab): - Production, transportation, and material moving occupations"
HD02_VD32,"Margin of Error; Public transportation (excluding taxicab): - Production, transportation, and material moving occupations"
HD01_VD33,Estimate; Public transportation (excluding taxicab): - Armed forces
HD02_VD33,Margin of Error; Public transportation (excluding taxicab): - Armed forces
HD01_VD34,Estimate; Walked:
HD02_VD34,Margin of Error; Walked:
HD01_VD35,"Estimate; Walked: - Management, professional, and related occupations"
HD02_VD35,"Margin of Error; Walked: - Management, professional, and related occupations"
HD01_VD36,Estimate; Walked: - Service occupations
HD02_VD36,Margin of Error; Walked: - Service occupations
HD01_VD37,Estimate; Walked: - Sales and office occupations
HD02_VD37,Margin of Error; Walked: - Sales and office occupations
HD01_VD38,"Estimate; Walked: - Farming, fishing, and forestry occupations"
HD02_VD38,"Margin of Error; Walked: - Farming, fishing, and forestry occupations"
HD01_VD39,"Estimate; Walked: - Construction and extraction, and maintenance occupations"
HD02_VD39,"Margin of Error; Walked: - Construction and extraction, and maintenance occupations"
HD01_VD40,"Estimate; Walked: - Production, transportation, and material moving occupations"
HD02_VD40,"Margin of Error; Walked: - Production, transportation, and material moving occupations"
HD01_VD41,Estimate; Walked: - Armed forces
HD02_VD41,Margin of Error; Walked: - Armed forces
HD01_VD42,"Estimate; Taxicab, motorcycle, bicycle, or other means:"
HD02_VD42,"Margin of Error; Taxicab, motorcycle, bicycle, or other means:"
HD01_VD43,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations"
HD02_VD43,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations"
HD01_VD44,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD02_VD44,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD01_VD45,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD02_VD45,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD01_VD46,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations"
HD02_VD46,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations"
