GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Margin of Error; Production, transportation, and material moving occupations",Estimate; Armed forces,Margin of Error; Armed forces,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Management, professional, and related occupations","Margin of Error; Car, truck, or van - drove alone: - Management, professional, and related occupations","Estimate; Car, truck, or van - drove alone: - Service occupations","Margin of Error; Car, truck, or van - drove alone: - Service occupations","Estimate; Car, truck, or van - drove alone: - Sales and office occupations","Margin of Error; Car, truck, or van - drove alone: - Sales and office occupations","Estimate; Car, truck, or van - drove alone: - Farming, fishing, and forestry occupations","Margin of Error; Car, truck, or van - drove alone: - Farming, fishing, and forestry occupations","Estimate; Car, truck, or van - drove alone: - Construction and extraction, and maintenance occupations","Margin of Error; Car, truck, or van - drove alone: - Construction and extraction, and maintenance occupations","Estimate; Car, truck, or van - drove alone: - Production, transportation, and material moving occupations","Margin of Error; Car, truck, or van - drove alone: - Production, transportation, and material moving occupations","Estimate; Car, truck, or van - drove alone: - Armed forces","Margin of Error; Car, truck, or van - drove alone: - Armed forces","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Management, professional, and related occupations","Margin of Error; Car, truck, or van - carpooled: - Management, professional, and related occupations","Estimate; Car, truck, or van - carpooled: - Service occupations","Margin of Error; Car, truck, or van - carpooled: - Service occupations","Estimate; Car, truck, or van - carpooled: - Sales and office occupations","Margin of Error; Car, truck, or van - carpooled: - Sales and office occupations","Estimate; Car, truck, or van - carpooled: - Farming, fishing, and forestry occupations","Margin of Error; Car, truck, or van - carpooled: - Farming, fishing, and forestry occupations","Estimate; Car, truck, or van - carpooled: - Construction and extraction, and maintenance occupations","Margin of Error; Car, truck, or van - carpooled: - Construction and extraction, and maintenance occupations","Estimate; Car, truck, or van - carpooled: - Production, transportation, and material moving occupations","Margin of Error; Car, truck, or van - carpooled: - Production, transportation, and material moving occupations","Estimate; Car, truck, or van - carpooled: - Armed forces","Margin of Error; Car, truck, or van - carpooled: - Armed forces",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,"Estimate; Public transportation (excluding taxicab): - Management, professional, and related occupations","Margin of Error; Public transportation (excluding taxicab): - Management, professional, and related occupations",Estimate; Public transportation (excluding taxicab): - Service occupations,Margin of Error; Public transportation (excluding taxicab): - Service occupations,Estimate; Public transportation (excluding taxicab): - Sales and office occupations,Margin of Error; Public transportation (excluding taxicab): - Sales and office occupations,"Estimate; Public transportation (excluding taxicab): - Farming, fishing, and forestry occupations","Margin of Error; Public transportation (excluding taxicab): - Farming, fishing, and forestry occupations","Estimate; Public transportation (excluding taxicab): - Construction and extraction, and maintenance occupations","Margin of Error; Public transportation (excluding taxicab): - Construction and extraction, and maintenance occupations","Estimate; Public transportation (excluding taxicab): - Production, transportation, and material moving occupations","Margin of Error; Public transportation (excluding taxicab): - Production, transportation, and material moving occupations",Estimate; Public transportation (excluding taxicab): - Armed forces,Margin of Error; Public transportation (excluding taxicab): - Armed forces,Estimate; Walked:,Margin of Error; Walked:,"Estimate; Walked: - Management, professional, and related occupations","Margin of Error; Walked: - Management, professional, and related occupations",Estimate; Walked: - Service occupations,Margin of Error; Walked: - Service occupations,Estimate; Walked: - Sales and office occupations,Margin of Error; Walked: - Sales and office occupations,"Estimate; Walked: - Farming, fishing, and forestry occupations","Margin of Error; Walked: - Farming, fishing, and forestry occupations","Estimate; Walked: - Construction and extraction, and maintenance occupations","Margin of Error; Walked: - Construction and extraction, and maintenance occupations","Estimate; Walked: - Production, transportation, and material moving occupations","Margin of Error; Walked: - Production, transportation, and material moving occupations",Estimate; Walked: - Armed forces,Margin of Error; Walked: - Armed forces,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:,Margin of Error; Worked at home:,"Estimate; Worked at home: - Management, professional, and related occupations","Margin of Error; Worked at home: - Management, professional, and related occupations",Estimate; Worked at home: - Service occupations,Margin of Error; Worked at home: - Service occupations,Estimate; Worked at home: - Sales and office occupations,Margin of Error; Worked at home: - Sales and office occupations,"Estimate; Worked at home: - Farming, fishing, and forestry occupations","Margin of Error; Worked at home: - Farming, fishing, and forestry occupations","Estimate; Worked at home: - Construction and extraction, and maintenance occupations","Margin of Error; Worked at home: - Construction and extraction, and maintenance occupations","Estimate; Worked at home: - Production, transportation, and material moving occupations","Margin of Error; Worked at home: - Production, transportation, and material moving occupations",Estimate; Worked at home: - Armed forces,Margin of Error; Worked at home: - Armed forces
0400000US01,01,Alabama,1943541,17358,598305,12328,293794,9506,489940,10735,14812,1906,214863,7786,324888,9638,6939,1537,1619932,16366,516019,10673,231387,8127,428960,10456,9892,1651,161266,6736,267438,8488,4970,1228,218550,8671,49810,3474,38695,3323,38462,3568,2752,1040,44800,4253,43835,3770,196,190,7896,1556,1939,735,1742,670,1713,863,0,267,178,153,2324,809,0,267,25741,2887,6467,1134,9147,2083,4622,1056,120,116,2045,891,1730,665,1610,947,20877,2596,4317,1154,3872,1190,2700,792,577,431,3286,836,6042,1354,83,98,50545,3217,19753,2043,8951,1517,13483,1824,1471,341,3288,985,3519,1017,80,76
0400000US02,02,Alaska,335039,5319,112397,4425,56880,3527,74576,3990,4311,965,40439,3355,37610,3131,8826,1314,219908,5959,77070,3870,36253,2962,53056,3538,1549,667,26770,2469,20010,2424,5200,1097,44627,4014,14844,2180,7856,1641,9623,1643,986,536,5636,1457,5298,1318,384,253,4862,1054,691,394,1684,742,875,408,0,267,1009,412,578,423,25,44,28404,2291,8474,1355,5932,1173,4676,1102,439,362,1983,700,6423,1047,477,333,17629,2199,4939,1100,2435,752,2989,663,1194,457,3391,960,2552,675,129,164,19609,2190,6379,1224,2720,810,3357,906,143,129,1650,625,2749,928,2611,384
0400000US04,04,Arizona,2753513,16653,899413,15437,498031,10826,723986,12589,15916,2705,336987,10337,268781,8770,10399,1561,2060864,19396,705091,14938,344873,10169,563092,12240,8202,1544,232492,8082,199742,7683,7372,1499,371571,12327,91373,5627,80346,6436,76501,4145,4545,2144,79323,6642,38391,3788,1092,518,58941,5349,11331,2191,18306,3397,15110,2326,927,740,3829,1220,9438,2332,0,267,61645,4611,14921,2540,17055,2806,15365,2357,949,735,6069,1907,6415,1395,871,322,65926,4560,15404,2084,17630,2644,13495,2389,599,485,9135,2491,9204,1744,459,310,134566,7156,61293,4951,19821,2445,40423,3381,694,376,6139,1586,5591,1560,605,284
0400000US05,05,Arkansas,1215761,12042,362630,9688,195035,7373,293223,9160,13074,2039,128075,5964,221790,7601,1934,630,981514,13162,302131,8547,148887,6860,250224,8036,8841,1557,94527,5227,175415,7197,1489,591,149301,6882,33360,3126,27144,3005,25317,2713,2087,895,26440,3059,34695,3982,258,330,5978,1387,1004,515,1974,827,1102,589,0,267,435,408,1463,615,0,267,19499,2094,6023,1155,4927,1125,3629,783,772,407,1404,578,2557,830,187,164,17231,2298,2927,881,4006,1238,3638,1041,633,343,1857,759,4170,1087,0,267,42238,3410,17185,2012,8097,1680,9313,1432,741,402,3412,1016,3490,1085,0,267
0400000US06,06,California,16419565,42800,5788597,35726,2783115,25680,4180307,31296,230921,11565,1522801,21184,1842864,20855,70960,4004,12015759,47558,4441218,35387,1837712,22879,3170519,28934,105546,6815,1082511,17297,1340897,19506,37356,3332,1946944,27340,509335,11588,357674,12820,417664,12026,86495,8783,292961,11948,273278,10950,9537,1823,840521,18991,237134,9132,231145,9998,207730,9066,8678,2484,49333,4763,106126,6256,375,287,461140,13649,133626,6199,127742,8407,119497,6014,9779,1841,22594,2947,37656,3045,10246,1308,367858,12012,107816,6175,82470,6846,70738,4854,14251,3430,36617,4773,53693,4558,2273,688,787343,14812,359468,11449,146372,6938,194159,6861,6172,1827,38785,3754,31214,3295,11173,1560
0400000US08,08,Colorado,2435073,13940,902193,13195,387395,11910,611702,11714,16436,2747,269356,10057,231437,8539,16554,1375,1817372,14380,684720,11487,270487,9611,471509,10375,8325,1846,198120,8100,175488,7361,8723,1360,257325,9888,71289,5450,48430,4154,53902,4932,3191,1443,47710,4527,31373,2887,1430,487,82218,6419,26619,2843,21228,3689,21714,3263,463,446,6192,1784,5816,1933,186,182,77077,4627,24826,2705,19347,2301,16024,2073,1489,645,3820,1156,5516,1398,6055,264,54540,4380,20823,2731,11234,2090,8840,1735,727,515,6545,1685,6248,1223,123,149,146541,6072,73916,4398,16669,1946,39713,3446,2241,1074,6969,1451,6996,1498,37,61
0400000US09,09,Connecticut,1709091,12320,661012,9867,283359,8780,436001,9319,2979,1048,140764,6599,180146,6729,4830,711,1379664,12571,553964,9262,210235,7495,355936,8271,886,477,112083,6000,145193,6592,1367,504,136268,7251,39543,3135,29704,3249,28310,2749,1111,591,17566,2875,19563,2344,471,301,53206,4277,12987,1706,15923,2234,17342,2575,0,267,1591,703,5142,1257,221,254,51644,4243,14828,1930,12231,1870,13260,1591,447,318,3578,1741,4867,1361,2433,487,23218,2888,5765,1099,6893,1744,4325,1141,434,550,2845,1130,2840,1051,116,138,65091,3752,33925,2583,8373,1465,16828,1799,101,97,3101,934,2541,872,222,258
0400000US10,10,Delaware,413937,8689,153655,5886,62723,4857,111208,4674,1713,540,42253,3402,41680,3593,705,433,332193,8821,127480,5179,45213,4247,90542,4140,1269,520,33654,3158,33432,3419,603,437,44033,3766,12989,1659,8377,1663,10846,1866,282,241,6602,1336,4888,1186,49,85,9156,1670,2191,881,3007,1050,2256,750,0,267,81,115,1621,737,0,267,10434,1793,2536,694,3310,1119,3651,1041,0,267,411,311,526,315,0,267,5279,1251,1428,677,845,455,1263,551,59,102,877,644,754,439,53,93,12842,1913,7031,1365,1971,722,2650,841,103,94,628,454,459,384,0,267
0400000US11,11,District of Columbia,717403,11693,433350,10528,92824,5507,123594,5965,236,206,32978,3770,27260,3492,7161,1645,319928,9204,187040,7358,42386,3783,50822,4401,131,160,20775,2757,15947,2341,2827,988,76172,4854,46985,3824,7517,1833,10754,1877,0,267,5919,1480,3988,1268,1009,419,258815,8437,160822,6945,34927,3676,51623,3761,57,97,4528,1479,5944,1556,914,419,33290,3143,19192,2067,5125,1551,6810,1414,0,267,1133,913,510,359,520,650,14590,1839,11061,1615,1002,421,1391,550,48,79,313,297,536,361,239,200,14608,2387,8250,1333,1867,757,2194,957,0,267,310,294,335,209,1652,1107
