GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - Management, business, science, and arts occupations"
HD02_VD03,"Margin of Error; Total: - Management, business, science, and arts occupations"
HD01_VD04,Estimate; Total: - Service occupations
HD02_VD04,Margin of Error; Total: - Service occupations
HD01_VD05,Estimate; Total: - Sales and office occupations
HD02_VD05,Margin of Error; Total: - Sales and office occupations
HD01_VD06,"Estimate; Total: - Natural resources, construction, and maintenance occupations"
HD02_VD06,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations"
HD01_VD07,"Estimate; Total: - Production, transportation, and material moving occupations"
HD02_VD07,"Margin of Error; Total: - Production, transportation, and material moving occupations"
HD01_VD08,Estimate; Total: - Military specific occupations
HD02_VD08,Margin of Error; Total: - Military specific occupations
HD01_VD09,"Estimate; Total: - Car, truck, or van - drove alone:"
HD02_VD09,"Margin of Error; Total: - Car, truck, or van - drove alone:"
HD01_VD10,"Estimate; Total: - Car, truck, or van - drove alone: - Management, business, science, and arts occupations"
HD02_VD10,"Margin of Error; Total: - Car, truck, or van - drove alone: - Management, business, science, and arts occupations"
HD01_VD11,"Estimate; Total: - Car, truck, or van - drove alone: - Service occupations"
HD02_VD11,"Margin of Error; Total: - Car, truck, or van - drove alone: - Service occupations"
HD01_VD12,"Estimate; Total: - Car, truck, or van - drove alone: - Sales and office occupations"
HD02_VD12,"Margin of Error; Total: - Car, truck, or van - drove alone: - Sales and office occupations"
HD01_VD13,"Estimate; Total: - Car, truck, or van - drove alone: - Natural resources, construction, and maintenance occupations"
HD02_VD13,"Margin of Error; Total: - Car, truck, or van - drove alone: - Natural resources, construction, and maintenance occupations"
HD01_VD14,"Estimate; Total: - Car, truck, or van - drove alone: - Production, transportation, and material moving occupations"
HD02_VD14,"Margin of Error; Total: - Car, truck, or van - drove alone: - Production, transportation, and material moving occupations"
HD01_VD15,"Estimate; Total: - Car, truck, or van - drove alone: - Military specific occupations"
HD02_VD15,"Margin of Error; Total: - Car, truck, or van - drove alone: - Military specific occupations"
HD01_VD16,"Estimate; Total: - Car, truck, or van - carpooled:"
HD02_VD16,"Margin of Error; Total: - Car, truck, or van - carpooled:"
HD01_VD17,"Estimate; Total: - Car, truck, or van - carpooled: - Management, business, science, and arts occupations"
HD02_VD17,"Margin of Error; Total: - Car, truck, or van - carpooled: - Management, business, science, and arts occupations"
HD01_VD18,"Estimate; Total: - Car, truck, or van - carpooled: - Service occupations"
HD02_VD18,"Margin of Error; Total: - Car, truck, or van - carpooled: - Service occupations"
HD01_VD19,"Estimate; Total: - Car, truck, or van - carpooled: - Sales and office occupations"
HD02_VD19,"Margin of Error; Total: - Car, truck, or van - carpooled: - Sales and office occupations"
HD01_VD20,"Estimate; Total: - Car, truck, or van - carpooled: - Natural resources, construction, and maintenance occupations"
HD02_VD20,"Margin of Error; Total: - Car, truck, or van - carpooled: - Natural resources, construction, and maintenance occupations"
HD01_VD21,"Estimate; Total: - Car, truck, or van - carpooled: - Production, transportation, and material moving occupations"
HD02_VD21,"Margin of Error; Total: - Car, truck, or van - carpooled: - Production, transportation, and material moving occupations"
HD01_VD22,"Estimate; Total: - Car, truck, or van - carpooled: - Military specific occupations"
HD02_VD22,"Margin of Error; Total: - Car, truck, or van - carpooled: - Military specific occupations"
HD01_VD23,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD23,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD24,"Estimate; Total: - Public transportation (excluding taxicab): - Management, business, science, and arts occupations"
HD02_VD24,"Margin of Error; Total: - Public transportation (excluding taxicab): - Management, business, science, and arts occupations"
HD01_VD25,Estimate; Total: - Public transportation (excluding taxicab): - Service occupations
HD02_VD25,Margin of Error; Total: - Public transportation (excluding taxicab): - Service occupations
HD01_VD26,Estimate; Total: - Public transportation (excluding taxicab): - Sales and office occupations
HD02_VD26,Margin of Error; Total: - Public transportation (excluding taxicab): - Sales and office occupations
HD01_VD27,"Estimate; Total: - Public transportation (excluding taxicab): - Natural resources, construction, and maintenance occupations"
HD02_VD27,"Margin of Error; Total: - Public transportation (excluding taxicab): - Natural resources, construction, and maintenance occupations"
HD01_VD28,"Estimate; Total: - Public transportation (excluding taxicab): - Production, transportation, and material moving occupations"
HD02_VD28,"Margin of Error; Total: - Public transportation (excluding taxicab): - Production, transportation, and material moving occupations"
HD01_VD29,Estimate; Total: - Public transportation (excluding taxicab): - Military specific occupations
HD02_VD29,Margin of Error; Total: - Public transportation (excluding taxicab): - Military specific occupations
HD01_VD30,Estimate; Total: - Walked:
HD02_VD30,Margin of Error; Total: - Walked:
HD01_VD31,"Estimate; Total: - Walked: - Management, business, science, and arts occupations"
HD02_VD31,"Margin of Error; Total: - Walked: - Management, business, science, and arts occupations"
HD01_VD32,Estimate; Total: - Walked: - Service occupations
HD02_VD32,Margin of Error; Total: - Walked: - Service occupations
HD01_VD33,Estimate; Total: - Walked: - Sales and office occupations
HD02_VD33,Margin of Error; Total: - Walked: - Sales and office occupations
HD01_VD34,"Estimate; Total: - Walked: - Natural resources, construction, and maintenance occupations"
HD02_VD34,"Margin of Error; Total: - Walked: - Natural resources, construction, and maintenance occupations"
HD01_VD35,"Estimate; Total: - Walked: - Production, transportation, and material moving occupations"
HD02_VD35,"Margin of Error; Total: - Walked: - Production, transportation, and material moving occupations"
HD01_VD36,Estimate; Total: - Walked: - Military specific occupations
HD02_VD36,Margin of Error; Total: - Walked: - Military specific occupations
HD01_VD37,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD37,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD38,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Management, business, science, and arts occupations"
HD02_VD38,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Management, business, science, and arts occupations"
HD01_VD39,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD02_VD39,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD01_VD40,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD02_VD40,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD01_VD41,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Natural resources, construction, and maintenance occupations"
HD02_VD41,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Natural resources, construction, and maintenance occupations"
HD01_VD42,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations"
