GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van:","Margin of Error; Total: - Car, truck, or van:","Estimate; Total: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Car, truck, or van: - Drove alone","Estimate; Total: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Car, truck, or van: - Carpooled:","Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Bicycle,Margin of Error; Total: - Bicycle,Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male:,Margin of Error; Total: - Male:,"Estimate; Total: - Male: - Car, truck, or van:","Margin of Error; Total: - Male: - Car, truck, or van:","Estimate; Total: - Male: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Male: - Car, truck, or van: - Drove alone","Estimate; Total: - Male: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled:","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Male: - Public transportation (excluding taxicab):,Margin of Error; Total: - Male: - Public transportation (excluding taxicab):,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Male: - Bicycle,Margin of Error; Total: - Male: - Bicycle,Estimate; Total: - Male: - Walked,Margin of Error; Total: - Male: - Walked,"Estimate; Total: - Male: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Male: - Taxicab, motorcycle, or other means",Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female:,Margin of Error; Total: - Female:,"Estimate; Total: - Female: - Car, truck, or van:","Margin of Error; Total: - Female: - Car, truck, or van:","Estimate; Total: - Female: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Female: - Car, truck, or van: - Drove alone","Estimate; Total: - Female: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled:","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Female: - Public transportation (excluding taxicab):,Margin of Error; Total: - Female: - Public transportation (excluding taxicab):,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Female: - Bicycle,Margin of Error; Total: - Female: - Bicycle,Estimate; Total: - Female: - Walked,Margin of Error; Total: - Female: - Walked,"Estimate; Total: - Female: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Female: - Taxicab, motorcycle, or other means",Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
0400000US01,01,Alabama,1930539,17247,1830852,17567,1648084,16177,182768,7185,136743,6562,29918,2919,16107,2463,7416,1374,7404,1376,12,21,0,184,0,184,0,184,1797,640,23353,2650,16166,1958,50955,3258,1023963,10669,970005,10342,862213,10252,107792,5291,79068,4613,18078,2589,10646,2123,3117,943,3117,943,0,184,0,184,0,184,0,184,1459,552,13671,2004,10791,1623,24920,2259,906576,11030,860847,11763,785871,10631,74976,4631,57675,3975,11840,1938,5461,1199,4299,1104,4287,1106,12,21,0,184,0,184,0,184,338,269,9682,1479,5375,1235,26035,2478
0400000US02,02,Alaska,365404,5709,286422,6400,238328,5934,48094,4400,36715,3731,6678,2324,4701,1188,5752,1299,5373,1295,0,184,8,13,0,184,371,210,3983,1159,26927,2505,22421,2632,19899,2496,203382,4611,149928,4891,126686,4211,23242,2319,17804,2145,2572,723,2866,675,3958,1218,3601,1223,0,184,8,13,0,184,349,212,3069,1082,16961,2342,17355,2406,12111,2191,162022,3583,136494,3587,111642,3657,24852,2897,18911,2377,4106,1837,1835,765,1794,684,1772,688,0,184,0,184,0,184,22,33,914,373,9966,967,5066,1038,7788,1250
0400000US04,04,Arizona,2705718,15760,2374824,16451,2076413,17211,298411,9825,229902,8273,40635,3959,27874,3106,54484,4683,51413,4634,1168,551,1310,881,550,359,43,70,24508,2962,54470,4062,49128,3262,148304,6579,1451350,11137,1271118,11489,1116598,10944,154520,6245,115589,4881,22360,3202,16571,2406,24899,2966,23879,3034,498,295,305,331,217,190,0,184,17459,2378,30040,3011,33177,3036,74657,4844,1254368,11591,1103706,11752,959815,13192,143891,7232,114313,6519,18275,2235,11303,1710,29585,3370,27534,3179,670,442,1005,809,333,297,43,70,7049,1462,24430,2357,15951,2039,73647,4114
0400000US05,05,Arkansas,1233398,11412,1152059,11529,1013045,11072,139014,7012,105948,6479,20794,2361,12272,1816,5481,1312,5375,1300,106,176,0,184,0,184,0,184,993,340,20021,2286,12177,1674,42667,3540,650991,7625,606597,8087,530482,7937,76115,4680,57264,4528,10614,1467,8237,1545,3218,1047,3218,1047,0,184,0,184,0,184,0,184,639,296,10816,1751,8366,1542,21355,2432,582407,7583,545462,7785,482563,7468,62899,3859,48684,3336,10180,1739,4035,852,2263,819,2157,806,106,176,0,184,0,184,0,184,354,257,9205,1592,3811,779,21312,2166
0400000US06,06,California,16425103,41731,13878412,45502,12057326,50144,1821086,24389,1370956,20784,260687,10273,189443,7751,849623,15671,615465,14406,20612,2482,147019,6733,59300,3883,7227,1289,184083,7895,439169,12710,208654,9198,865162,15704,8990524,27197,7630292,31085,6625685,33890,1004607,15133,741602,12568,148579,7842,114426,6550,428478,11816,302023,10785,12034,2249,77816,4274,32402,2940,4203,1053,132758,6160,234169,9149,137528,6545,427299,11519,7434579,30571,6248120,31629,5431641,32765,816479,14850,629354,12892,112108,6388,75017,4221,421145,10585,313442,9147,8578,1290,69203,4224,26898,2422,3024,753,51325,3377,205000,8103,71126,4843,437863,10506
0400000US08,08,Colorado,2520151,15777,2123270,17333,1879015,18048,244255,9043,184580,7892,33493,3345,26182,2883,81480,5060,72027,4566,1368,563,5040,1150,2885,901,160,157,38266,3247,83892,5174,25029,2208,168214,6844,1365175,9658,1146175,11699,1007375,12350,138800,6046,102700,5361,19478,2379,16622,2407,41109,3243,36582,3001,660,378,2176,580,1601,660,90,105,26882,2623,48638,4108,17465,2032,84906,4957,1154976,11242,977095,11269,871640,11540,105455,5435,81880,4478,14015,1832,9560,1595,40371,3723,35445,3494,708,355,2864,929,1284,552,70,115,11384,1620,35254,2565,7564,1212,83308,4127
0400000US09,09,Connecticut,1708374,12362,1501689,13277,1358053,13192,143636,6482,111373,5629,16780,2277,15483,2426,61659,5000,44822,4011,672,562,2138,769,13939,2379,88,96,5561,1252,50695,4250,17230,2553,71540,4258,870142,8653,766778,8841,691321,8865,75457,4623,56140,3339,10116,1850,9201,1812,28423,3099,19291,2418,495,530,717,454,7874,1747,46,65,4225,1097,26702,2720,8504,1669,35510,2711,838232,7865,734911,9105,666732,8811,68179,4040,55233,3862,6664,1082,6282,1528,33236,3363,25531,2867,177,171,1421,602,6065,1335,42,69,1336,491,23993,2699,8726,1695,36030,2984
0400000US10,10,Delaware,420429,6747,378590,6962,344021,7290,34569,3293,27493,3064,3141,827,3935,973,8981,1573,8135,1479,0,184,62,103,784,328,0,184,1298,477,9137,1659,3856,1042,18567,2031,210666,4575,189015,4641,172428,4643,16587,2361,13020,2102,1429,598,2138,794,4052,1049,3676,1032,0,184,0,184,376,217,0,184,1095,450,4529,1133,2484,847,9491,1563,209763,4775,189575,5000,171593,5304,17982,1936,14473,1763,1712,483,1797,562,4929,987,4459,907,0,184,62,103,408,249,0,184,203,147,4608,1196,1372,559,9076,1333
0400000US11,11,District of Columbia,796394,12419,421132,10118,342010,9070,79122,5632,52457,4764,14444,2235,12221,2014,292860,8277,88878,4812,1586,728,180872,6157,21448,2204,76,122,16736,2501,41068,3918,9469,1605,15129,1890,408152,8281,223672,6339,183365,6056,40307,3259,26554,2714,7118,1181,6635,1445,138914,5686,38388,3357,787,665,87284,4290,12455,1536,0,184,10969,1864,21288,2811,6085,1483,7224,1344,388242,7845,197460,6706,158645,5847,38815,3414,25903,2981,7326,1716,5586,1124,153946,5948,50490,2990,799,429,93588,4735,8993,1499,76,122,5767,1416,19780,2150,3384,1045,7905,1493
