GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van:","Margin of Error; Total: - Car, truck, or van:","Estimate; Total: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Car, truck, or van: - Drove alone","Estimate; Total: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Car, truck, or van: - Carpooled:","Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Bicycle,Margin of Error; Total: - Bicycle,Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male:,Margin of Error; Total: - Male:,"Estimate; Total: - Male: - Car, truck, or van:","Margin of Error; Total: - Male: - Car, truck, or van:","Estimate; Total: - Male: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Male: - Car, truck, or van: - Drove alone","Estimate; Total: - Male: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled:","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Male: - Public transportation (excluding taxicab):,Margin of Error; Total: - Male: - Public transportation (excluding taxicab):,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Male: - Bicycle,Margin of Error; Total: - Male: - Bicycle,Estimate; Total: - Male: - Walked,Margin of Error; Total: - Male: - Walked,"Estimate; Total: - Male: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Male: - Taxicab, motorcycle, or other means",Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female:,Margin of Error; Total: - Female:,"Estimate; Total: - Female: - Car, truck, or van:","Margin of Error; Total: - Female: - Car, truck, or van:","Estimate; Total: - Female: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Female: - Car, truck, or van: - Drove alone","Estimate; Total: - Female: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled:","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Female: - Public transportation (excluding taxicab):,Margin of Error; Total: - Female: - Public transportation (excluding taxicab):,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Female: - Bicycle,Margin of Error; Total: - Female: - Bicycle,Estimate; Total: - Female: - Walked,Margin of Error; Total: - Female: - Walked,"Estimate; Total: - Female: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Female: - Taxicab, motorcycle, or other means",Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
0400000US01,01,Alabama,1914756,17722,1814366,18387,1626125,16768,188241,9426,145426,8331,28328,3455,14487,2596,8782,1424,8301,1380,64,106,417,369,0,193,0,193,2542,964,20821,2668,17119,2287,51126,4304,998967,11188,940246,11799,834589,11197,105657,6394,79535,5711,16340,2804,9782,2048,4167,1118,3750,987,0,193,417,369,0,193,0,193,2167,839,12292,1993,11809,1856,28286,3317,915789,11856,874120,11746,791536,11071,82584,5104,65891,4518,11988,1877,4705,1033,4615,1113,4551,1130,64,106,0,193,0,193,0,193,375,267,8529,1547,5310,1339,22840,2136
0400000US02,02,Alaska,355925,6110,283366,6248,239776,6215,43590,3508,35471,3295,4775,1032,3344,770,6061,1575,5763,1534,0,193,81,104,0,193,217,199,3551,867,27655,2070,18417,1751,16875,2033,195428,3805,150679,4182,127719,4317,22960,2383,17984,2087,2370,754,2606,699,3071,1114,2850,1077,0,193,16,28,0,193,205,200,2751,833,16666,1816,13197,1512,9064,1583,160497,4611,132687,4371,112057,4403,20630,2316,17487,2122,2405,810,738,338,2990,1071,2913,1052,0,193,65,90,0,193,12,30,800,293,10989,1273,5220,886,7811,1386
0400000US04,04,Arizona,2623436,18031,2294763,19906,1991552,20267,303211,12323,240940,12158,35641,4453,26630,3569,52302,4776,49451,4573,1886,1182,710,419,135,132,120,201,29225,3770,58610,6476,42754,4148,145782,8522,1404537,15575,1222700,17223,1059499,16080,163201,9067,128262,8676,19972,3112,14967,2765,26724,3396,24927,3309,1289,818,447,354,61,100,0,193,22486,3389,29933,3665,29559,3398,73135,5731,1218899,13817,1072063,14715,932053,13984,140010,8228,112678,7935,15669,2318,11663,2136,25578,3005,24524,2921,597,504,263,230,74,87,120,201,6739,1573,28677,5014,13195,2479,72647,4879
0400000US05,05,Arkansas,1214826,11798,1130726,11038,1005949,12850,124777,6639,97091,5682,15443,1895,12243,2753,5346,1194,5141,1207,36,62,89,143,80,110,0,193,2136,872,21936,2456,14113,2192,40569,3617,642696,8289,593204,8651,527416,9959,65788,4587,51449,3773,6724,1294,7615,1971,3007,986,2909,981,36,62,0,193,62,106,0,193,1782,837,13164,1665,10577,1943,20962,2368,572130,7762,537522,7585,478533,7787,58989,4042,45642,3950,8719,1360,4628,1221,2339,746,2232,744,0,193,89,143,18,30,0,193,354,279,8772,1667,3536,755,19607,2472
0400000US06,06,California,16042489,40016,13540677,39480,11759523,45850,1781154,26616,1346396,24176,249951,10031,184807,9480,825845,15872,617726,14130,19194,2823,127108,6701,55899,3670,5918,1649,176246,9463,443040,12873,199329,8729,857352,17561,8741840,28887,7399918,29338,6421770,33321,978148,18887,726573,17140,142569,7314,109006,6135,420901,11405,305944,9785,10045,1937,67826,4408,33694,2890,3392,1074,128994,7857,231229,9175,128700,6697,432098,11897,7300649,30084,6140759,27724,5337753,29871,803006,15468,619823,13580,107382,5154,75801,5458,404944,9319,311782,9106,9149,1745,59282,4336,22205,2686,2526,1130,47252,4166,211811,8295,70629,4941,425254,10355
0400000US08,08,Colorado,2462381,12823,2101350,15402,1862725,13933,238625,8207,185130,8562,31485,3741,22010,2985,76857,4987,65656,4583,1438,680,6779,1485,2656,981,328,364,33526,3878,71869,4964,23825,2852,154954,7327,1321869,9414,1122951,11165,986034,11045,136917,6961,105520,6290,17248,2701,14149,2204,42767,3890,36079,3729,889,490,3802,1076,1776,781,221,332,23808,3286,40585,3497,15433,1968,76325,4361,1140512,8881,978399,10336,876691,10722,101708,4725,79610,4893,14237,2112,7861,1774,34090,2910,29577,2695,549,360,2977,1025,880,418,107,129,9718,1593,31284,3097,8392,2007,78629,5117
0400000US09,09,Connecticut,1710953,13550,1504730,13525,1352837,13807,151893,8209,116264,6933,22100,3525,13529,2304,59778,4949,46852,4241,137,190,1254,464,11438,1995,97,158,5003,1216,51759,4224,17248,2577,72435,4059,884152,9327,773012,9607,689791,9423,83221,5423,60850,4484,14022,2774,8349,1938,30157,3660,21906,3012,26,45,661,357,7564,1687,0,193,3849,999,29051,3441,10611,2181,37472,2825,826801,9957,731718,10069,663046,10530,68672,4823,55414,4043,8078,1539,5180,1096,29621,2705,24946,2572,111,185,593,294,3874,878,97,158,1154,541,22708,2124,6637,1410,34963,2780
0400000US10,10,Delaware,407733,7229,370081,7680,333736,8376,36345,3475,26803,2876,5315,1376,4227,1178,10449,2026,9935,1973,0,193,69,113,445,446,0,193,922,489,8687,1755,2571,836,15023,1984,205302,4935,185171,5072,166007,5521,19164,2377,14353,1976,2549,890,2262,737,4712,1246,4562,1250,0,193,69,113,81,96,0,193,490,284,5152,1521,2039,816,7738,1451,202431,5020,184910,5105,167729,5054,17181,2090,12450,1692,2766,853,1965,816,5737,1335,5373,1213,0,193,0,193,364,432,0,193,432,399,3535,883,532,293,7285,1117
0400000US11,11,District of Columbia,805581,14168,426372,11410,345873,10435,80499,5357,56503,4383,14011,2491,9985,1741,306244,10741,93065,6045,1254,618,189708,8450,22217,2748,0,193,11302,1642,37409,3153,9554,1796,14700,2159,416667,9961,229659,8643,186610,7968,43049,3389,28274,2873,8616,1645,6159,1375,148011,6491,44047,4076,473,386,90267,5133,13224,2123,0,193,7594,1183,19283,2111,4917,1123,7203,1558,388914,9512,196713,7072,159263,6376,37450,3250,28229,2808,5395,1399,3826,992,158233,7079,49018,3911,781,527,99441,5671,8993,1657,0,193,3708,1080,18126,2217,4637,1254,7497,1369
