GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over
01,Alabama,1932727,18015,61026,3968,194722,6304,834767,10938,437540,6660,187120,6824,120090,5656,97462,50055,3837,737,406,2980,1132,16840,2282,12209,1850,6426,1281,5420,1044,5443
02,Alaska,366809,5441,14228,1971,42468,2399,156697,3401,78185,2761,36299,2770,23087,2206,15845,15371,2129,220,160,1475,916,6000,1186,3605,845,1194,434,1314,521,1563
04,Arizona,2727448,17333,95861,4910,294017,5819,1214546,10708,582664,7719,243557,5850,167572,5519,129231,150347,7170,1355,578,7189,1690,52687,4307,41355,3751,19244,1728,13459,1558,15058
05,Arkansas,1225755,12155,42299,3418,123274,4620,534318,8898,269750,6336,114391,4771,76051,3481,65672,34589,3457,735,379,2264,813,11597,2027,8821,1562,4065,993,3154,811,3953
06,California,16740038,39419,404708,10162,1697858,16261,7667019,23823,3700712,18011,1516042,14456,1000456,14459,753243,877833,17079,14690,2168,41845,3832,320755,11357,225710,8098,102549,5030,80337,4418,91947
08,Colorado,2564044,16271,81924,3922,249176,6121,1165412,10593,546622,5980,240120,5542,164497,5475,116293,177620,7065,2953,808,6451,1263,69788,4254,45580,3079,21180,1939,14774,1861,16894
09,Connecticut,1719042,11585,60745,3276,149419,4794,676736,7351,415224,6779,186823,5319,125951,4346,104144,75129,4216,1448,552,4160,1080,20968,2349,21360,2206,10638,1685,8105,1370,8450
10,Delaware,424042,7520,13291,1516,41662,2855,178229,4719,96411,3571,40769,3012,30487,1928,23193,15846,1986,322,289,752,419,6012,1539,3546,786,1667,555,1821,567,1726
11,District of Columbia,799166,13648,8617,1379,50605,3577,396063,9420,178887,5617,72746,4053,51933,3171,40315,14474,2265,199,208,1247,725,6747,1381,2539,772,891,458,958,420,1893
12,Florida,8313689,34529,212743,7389,786299,14587,3509504,22355,1958765,12343,818035,13251,549378,12538,478965,424181,12099,9025,1851,22865,3142,146262,7244,109775,6120,46813,4562,39767,3074,49674
13,Georgia,4286025,25812,127143,6611,410116,9557,1960307,17426,974257,12017,393965,9349,242125,6301,178112,208445,8238,4414,1056,10962,1487,81873,5399,54159,4755,24829,2705,16823,2199,15385
15,Hawaii,673305,7037,16873,2016,71571,2741,291299,4551,138414,2788,68354,3207,48479,3059,38315,29619,3070,618,485,2113,788,9866,1807,5589,972,3996,868,3798,999,3639
16,Idaho,673949,9425,25536,2318,72713,4229,290144,5022,144969,4530,66808,3950,44239,2673,29540,38378,3045,834,425,1198,640,13698,1877,10036,1523,4110,906,5304,1294,3198
17,Illinois,5960853,22997,190021,5971,568341,7788,2601271,14615,1354640,8706,584569,9391,382715,8152,279296,250948,8615,5662,1059,12924,1656,96980,6175,62986,4082,28686,2420,21410,2036,22300
18,Indiana,2913661,17619,113315,5082,299894,6914,1212929,10241,654632,7608,295909,5996,195912,5373,141070,98636,5088,2669,597,5758,1080,37218,3639,25541,2570,11165,1544,7697,1191,8588
19,Iowa,1549841,9644,76079,2975,168644,4510,616233,6393,336288,4077,159138,4209,113983,4095,79476,64401,3558,2944,671,3426,760,21060,2211,15977,1755,7945,1005,6372,960,6677
