GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Private for-profit wage and salary workers:,Margin of Error; Private for-profit wage and salary workers:,Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Private not-for-profit wage and salary workers,Margin of Error; Private not-for-profit wage and salary workers,Estimate; Local government workers,Margin of Error; Local government workers,Estimate; State government workers,Margin of Error; State government workers,Estimate; Federal government workers,Margin of Error; Federal government workers,Estimate; Self-employed in own not incorporated business workers,Margin of Error; Self-employed in own not incorporated business workers,Estimate; Unpaid family workers,Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Worked at home: - Private for-profit wage and salary workers:,Estimate; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Worked at home: - Private not-for-profit wage and salary workers,Estimate; Worked at home: - Local government workers,Margin of Error; Worked at home: - Local government workers,Estimate; Worked at home: - State government workers,Margin of Error; Worked at home: - State government workers,Estimate; Worked at home: - Federal government workers,Margin of Error; Worked at home: - Federal government workers,Estimate; Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Worked at home: - Self-employed in own not incorporated business workers,Estimate; Worked at home: - Unpaid family workers
01,Alabama,1943541,17358,1386864,15809,1321196,15918,65668,3832,116380,5886,134561,5740,107874,4947,72907,4633,120765,5552,4190,50545,3217,25750,2429,19625,2246,6125,1089,2386,676,563,322,1502,623,618,329,18747,2001,979
02,Alaska,335039,5319,186057,5988,177453,5955,8604,1622,29756,2816,26767,2345,27287,2240,38396,2812,25321,2671,1455,19609,2190,6815,1330,5542,1260,1273,480,917,420,201,195,585,518,3752,472,6874,1362,465
04,Arizona,2753513,16653,2024990,20637,1912214,20857,112776,5590,147995,6615,201141,8182,115257,5598,89598,5282,170024,7044,4508,134566,7156,73531,5775,48258,3878,25273,3429,4457,1179,2600,946,2256,833,1711,471,48549,3107,1462
05,Arkansas,1215761,12042,851811,12705,803539,12980,48272,3484,79531,4421,78047,4455,82273,4499,32884,2949,88143,5306,3072,42238,3410,19008,2502,12742,1826,6266,1499,1873,613,527,320,1781,800,236,311,17992,2044,821
06,California,16419565,42800,11594307,46096,11060228,42979,534079,12093,951300,16296,1329714,20149,602151,12330,465732,10429,1440836,20454,35525,787343,14812,333519,8964,240781,7811,92738,4880,26778,2359,24955,2469,23319,2492,21150,1805,347283,12337,10339
08,Colorado,2435073,13940,1730757,14631,1600468,14748,130289,6963,164042,6454,171354,5844,90717,5337,92644,4835,178983,7183,6576,146541,6072,82754,5470,54227,4034,28527,3574,5144,973,2024,624,2282,534,830,342,51666,4096,1841
09,Connecticut,1709091,12320,1213420,13297,1150946,13924,62474,3561,155377,6902,122511,5259,68058,4194,29935,2103,116979,5593,2811,65091,3752,35616,2783,25261,2036,10355,1621,2910,779,1104,589,899,357,511,321,23819,2214,232
10,Delaware,413937,8689,303594,7959,287795,7899,15799,2221,35078,2720,15397,1644,28609,2587,10822,1810,19572,1810,865,12842,1913,7152,1317,4959,1135,2193,846,910,518,116,138,473,240,52,84,3738,879,401
11,District of Columbia,717403,11693,312946,8981,296438,8809,16508,2162,108351,4807,32316,3233,12058,1973,224585,8253,26817,2273,330,14608,2387,5646,1407,3508,1128,2138,737,1248,658,0,267,297,236,2524,1238,4893,1148,0
12,Florida,8142524,32580,6127870,33856,5606704,34374,521166,11788,440876,10004,623062,14743,242841,7446,218844,8588,475632,11573,13399,340770,9629,213768,7306,125957,4893,87811,5116,9491,1800,3510,873,1870,701,6724,996,102058,5860,3349
13,Georgia,4333325,21575,3142536,22496,2954680,22664,187856,7291,231813,10599,326429,8317,202935,8128,169161,7057,250811,10159,9640,188556,8282,109605,6043,77764,5280,31841,3477,5794,1375,2091,789,2948,971,9168,1044,57034,5318,1916
15,Hawaii,628564,6795,388600,7982,365918,7611,22682,2718,37119,3107,22519,2346,60783,3648,73986,3738,44559,3755,998,26516,2681,10805,1648,5156,1293,5649,1139,603,329,262,281,1381,738,1112,440,11816,2071,537
16,Idaho,682844,7481,477330,7190,440191,7169,37139,2834,40339,3320,47260,3003,35318,2529,22273,2246,57326,3436,2998,36997,3222,16705,2099,10191,1781,6514,1274,1328,592,337,202,511,283,1004,370,15902,1798,1210
17,Illinois,5997956,22464,4435061,23754,4218811,23210,216250,8011,484332,9686,429280,10539,203911,6641,127050,4920,306681,9220,11641,219486,7761,113704,5405,77989,4376,35715,3272,9207,1103,2521,780,4318,940,3740,771,82462,4709,3534
18,Indiana,2900016,16823,2181849,17128,2086587,17616,95262,4499,239463,6745,180378,6891,96937,4890,47877,3382,148178,6142,5334,94556,4721,45367,3170,33436,2610,11931,1656,4818,934,1341,463,2151,692,220,187,38629,3294,2030
19,Iowa,1501636,10108,1055667,10294,1003039,10243,52628,2928,133407,4391,96338,4088,76063,4101,20678,1963,115061,3497,4422,73802,3925,27560,2116,18561,1534,8999,1299,3600,836,741,293,1104,496,245,181,38926,2500,1626
20,Kansas,1387425,11649,957843,11756,912940,11941,44903,3333,98089,4115,107181,4124,77576,4745,46242,3497,96811,4237,3683,60068,3272,25567,2190,17819,1920,7748,1118,2599,660,414,289,2482,668,393,232,27299,2449,1314
21,Kentucky,1880402,16550,1321233,16019,1262088,15645,59145,3209,129053,5878,113378,5786,121769,5657,71577,4220,118863,5854,4529,60114,4091,25487,2874,17917,2443,7570,1543,3449,742,723,354,1232,440,1272,406,26645,2591,1306
22,Louisiana,1860956,16291,1327590,16907,1256517,16416,71073,4699,102003,5289,131627,5913,114987,4627,57021,3571,123361,6193,4367,50838,4330,22516,2595,16147,2554,6369,1237,2309,584,294,311,2121,788,290,240,22388,2676,920
23,Maine,632517,6177,405614,7140,380828,7271,24786,2193,71564,4092,48546,3469,23827,2196,20669,1996,60967,3335,1330,31176,2397,12402,1557,8262,1341,4140,846,934,405,725,298,852,416,358,294,15701,1594,204
24,Maryland,2533049,18945,1660740,19377,1558482,18880,102258,5649,208589,7351,204598,7089,114317,5601,199601,7628,141595,5433,3609,100238,4509,50214,3497,32690,2619,17524,2097,4531,1042,933,425,1355,450,1485,674,40841,2949,879
25,Massachusetts,3248181,20259,2259720,19452,2155815,19592,103905,5582,371192,10867,224083,7544,118119,6377,63334,4806,206133,7579,5600,127156,6301,58048,4435,43867,3549,14181,1865,9162,1508,2301,1160,2580,1114,456,281,53178,3590,1431
26,Michigan,4353614,19490,3225647,22066,3061716,21913,163931,6015,369330,8491,275191,6910,167833,6170,68314,4117,237733,7688,9566,148720,5119,69927,3921,47402,3136,22525,2219,8614,1288,2363,661,4840,916,793,439,59594,2694,2589
27,Minnesota,2699357,11495,1930688,15712,1820951,15330,109737,4349,266101,7045,181512,5782,98481,4089,38701,2807,178537,5254,5337,137680,5220,62292,3475,40794,2791,21498,2248,7304,1240,2231,601,2372,589,728,367,60761,3176,1992
28,Mississippi,1137160,13327,773079,13003,736510,13245,36569,3251,58689,4176,81259,4828,92309,5422,50165,3460,78895,3976,2764,28661,2447,12109,1824,8946,1428,3163,1064,1498,588,715,442,532,379,814,337,12402,1778,591
29,Missouri,2801049,17914,1971791,18747,1889091,18733,82700,4919,253096,8260,163828,6746,128289,6078,87328,4745,190972,6491,5745,111923,4631,43990,3396,32342,2742,11648,1792,4817,979,1641,769,2429,1221,6190,274,51276,2939,1580
30,Montana,460787,6510,288836,7474,264228,7127,24608,2216,38277,2876,32778,2466,28447,3163,21980,2325,48406,2988,2063,33309,2673,13185,1694,7222,1459,5963,1012,1106,495,503,239,779,396,1687,618,15378,1789,671
31,Nebraska,924995,7494,636430,7579,602522,7662,33908,2622,73998,4239,64520,3166,45859,3095,24754,2448,76144,3351,3290,51254,3408,17352,2292,10874,1470,6478,1416,3637,957,589,301,949,295,274,193,27109,2329,1344
32,Nevada,1239805,9794,990348,10646,947556,11275,42792,3663,37532,3668,79563,4714,36520,3210,33995,3311,59722,4031,2125,37201,3562,21178,2422,13672,1992,7506,1265,581,315,171,186,592,467,463,519,13823,2226,393
33,New Hampshire,634899,8958,440849,8823,418699,8555,22150,2387,57163,3471,48760,3764,20368,2254,10522,1457,56162,3879,1075,34099,2689,16891,1658,12228,1568,4663,1092,1372,430,153,136,417,315,268,226,14583,1914,415
34,New Jersey,3884858,25676,2860373,21170,2697400,20485,162973,6732,246436,8375,320238,7978,167210,6643,82015,5484,200541,6869,8045,137688,6210,83924,5265,58710,3801,25214,3033,5849,1144,1530,663,892,394,615,512,42985,3188,1893
