GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Total: - Construction,Margin of Error; Total: - Construction,Estimate; Total: - Manufacturing,Margin of Error; Total: - Manufacturing,Estimate; Total: - Wholesale trade,Margin of Error; Total: - Wholesale trade,Estimate; Total: - Retail trade,Margin of Error; Total: - Retail trade,"Estimate; Total: - Transportation and warehousing, and utilities","Margin of Error; Total: - Transportation and warehousing, and utilities",Estimate; Total: - Information,Margin of Error; Total: - Information,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services","Estimate; Total: - Educational services, and health care and social assistance","Margin of Error; Total: - Educational services, and health care and social assistance","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Total: - Other services (except public administration),Margin of Error; Total: - Other services (except public administration),Estimate; Total: - Public administration,Margin of Error; Total: - Public administration,Estimate; Total: - Armed forces,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,"Estimate; Total: - Worked at home: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Total: - Worked at home: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Total: - Worked at home: - Construction,Margin of Error; Total: - Worked at home: - Construction,Estimate; Total: - Worked at home: - Manufacturing,Margin of Error; Total: - Worked at home: - Manufacturing,Estimate; Total: - Worked at home: - Wholesale trade,Margin of Error; Total: - Worked at home: - Wholesale trade,Estimate; Total: - Worked at home: - Retail trade,Margin of Error; Total: - Worked at home: - Retail trade,"Estimate; Total: - Worked at home: - Transportation and warehousing, and utilities","Margin of Error; Total: - Worked at home: - Transportation and warehousing, and utilities",Estimate; Total: - Worked at home: - Information,Margin of Error; Total: - Worked at home: - Information,"Estimate; Total: - Worked at home: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Total: - Worked at home: - Finance and insurance, and real estate and rental and leasing","Estimate; Total: - Worked at home: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Total: - Worked at home: - Professional, scientific, and management, and administrative and waste management services","Estimate; Total: - Worked at home: - Educational services, and health care and social assistance","Margin of Error; Total: - Worked at home: - Educational services, and health care and social assistance","Estimate; Total: - Worked at home: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Total: - Worked at home: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Total: - Worked at home: - Other services (except public administration),Margin of Error; Total: - Worked at home: - Other services (except public administration),Estimate; Total: - Worked at home: - Public administration,Margin of Error; Total: - Worked at home: - Public administration,Estimate; Total: - Worked at home: - Armed forces
01,Alabama,1960728,14412,29750,2990,122607,6273,269776,8221,50666,3157,242945,9306,93492,5302,33113,3379,110554,5859,181430,6647,429229,10279,166248,5099,104501,4466,115269,6138,11148,57233,3661,2701,937,4475,1354,4510,1140,1867,723,5480,1232,1664,685,2016,776,4716,1187,13793,1916,7628,1492,2028,616,3539,1130,1180,427,1636
02,Alaska,366124,5570,20698,2098,27608,2871,12729,1928,6233,1246,34728,3209,28843,2704,8346,1681,13154,1579,30054,2999,77307,3501,31692,3129,15740,2204,41935,3075,17057,13915,1891,855,895,1588,752,248,198,239,197,338,191,489,303,210,181,916,449,2892,923,2920,806,1530,546,1269,734,295,187,126
04,Arizona,2803956,19199,46963,4255,188674,7501,191491,7172,67418,3742,340417,9811,140012,6093,46446,3295,229466,8322,333516,9767,612354,12108,308626,10430,136199,6539,145563,5432,16811,161653,6371,3788,1868,9204,1817,8731,1433,4623,1142,12601,1708,6444,1431,4762,985,22834,2608,39374,3063,25417,2475,9672,1901,10176,1658,2718,644,1309
05,Arkansas,1244956,13403,39899,3044,76382,5404,166436,6648,27647,2498,165452,6389,63568,4410,23927,2990,61220,4177,93677,5143,292357,9379,104878,7545,63239,4838,62449,4628,3825,41375,3177,4794,1181,3263,1292,1802,540,1710,899,2881,1022,934,553,1094,459,3586,1215,7505,1511,8518,1695,1950,920,2686,717,652,388,0
06,California,17255848,41675,405022,12387,1032291,18977,1679069,22946,533358,11997,1877174,26231,802131,15405,513392,11454,1062093,18762,2215451,22239,3537230,31384,1808729,27867,926624,16551,734801,14421,128483,930975,16361,14865,2416,39732,3882,54624,3879,28734,2996,62736,4122,18514,2392,43058,3399,100220,5375,229082,6572,182852,7155,53834,4494,56658,4162,26890,2710,19176
08,Colorado,2669008,13651,71478,4283,208894,7922,175540,7222,67889,3739,287052,9859,116832,4979,84552,4490,182119,8257,351556,9487,534692,11643,294170,9281,140575,6361,123838,5925,29821,174353,6876,5327,1108,9761,1487,10422,1315,5737,870,11342,1912,3610,919,7670,1207,20113,2022,49306,3599,24987,2694,9677,1624,11302,1752,2645,763,2454
09,Connecticut,1751075,13180,7934,1848,99788,5688,189980,7548,48372,4309,186308,7916,60868,4052,42966,3155,159197,6450,193608,7120,451787,7721,157048,7474,76175,4644,67940,3972,9104,81594,4474,1194,679,5185,1326,6690,1576,2495,824,4567,1024,571,356,3693,1012,12704,1685,21772,2297,11246,1319,4023,921,5131,1221,1166,859,1157
10,Delaware,437466,8194,3768,893,28014,3197,37882,3155,7702,1585,57486,3673,18770,1967,5975,1244,47575,3579,43760,3406,102780,4550,39082,3765,18078,2176,24042,2343,2552,19287,2306,407,360,1259,615,1309,681,373,267,1033,460,814,617,481,392,3018,947,4670,1171,3428,802,943,629,1254,615,298,179,0
11,District of Columbia,821495,12642,1222,411,34182,2895,12029,1833,3823,1055,27845,3446,28431,2940,26781,2332,46139,3277,162638,6352,135105,6102,70729,5000,65402,4005,197714,5847,9455,17012,2053,0,187,60,99,48,58,258,205,389,360,443,449,1100,483,1401,526,6860,1255,2333,686,1511,534,1583,718,1026,483,0
