GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
01,Alabama,41.2,0.3,46.3,1.0
02,Alaska,40.3,0.4,42.4,2.1
04,Arizona,39.6,0.3,46.8,0.8
05,Arkansas,41.4,0.2,47.5,1.6
06,California,40.2,0.2,46.6,0.3
08,Colorado,40.7,0.2,47.0,0.7
09,Connecticut,43.1,0.2,47.8,1.2
10,Delaware,42.1,0.4,44.9,2.7
11,District of Columbia,42.3,0.4,42.4,3.8
12,Florida,42.0,0.2,47.3,0.4
13,Georgia,40.4,0.2,44.9,0.6
15,Hawaii,41.7,0.3,49.1,1.4
16,Idaho,40.3,0.3,46.4,1.7
17,Illinois,41.1,0.1,46.2,0.5
18,Indiana,41.7,0.2,45.4,1.3
19,Iowa,42.0,0.2,48.5,0.8
20,Kansas,41.5,0.3,47.1,1.0
21,Kentucky,40.9,0.2,46.5,1.2
22,Louisiana,40.9,0.3,45.9,1.5
23,Maine,43.7,0.2,51.3,1.7
24,Maryland,42.1,0.2,47.3,0.9
25,Massachusetts,42.3,0.1,47.9,0.8
26,Michigan,41.7,0.1,46.6,1.0
27,Minnesota,41.6,0.2,46.3,0.8
28,Mississippi,41.0,0.3,47.1,1.8
29,Missouri,41.5,0.2,46.4,0.9
30,Montana,43.1,0.4,48.6,1.7
31,Nebraska,41.7,0.2,47.8,1.2
32,Nevada,40.5,0.2,47.8,1.5
33,New Hampshire,43.2,0.3,47.4,1.0
34,New Jersey,42.7,0.2,47.3,0.6
35,New Mexico,41.0,0.3,48.1,1.8
36,New York,41.9,0.2,47.2,0.4
37,North Carolina,41.1,0.2,45.0,0.8
38,North Dakota,41.4,0.5,48.7,1.9
39,Ohio,42.1,0.2,46.2,0.6
40,Oklahoma,40.8,0.2,46.1,1.3
41,Oregon,41.5,0.2,46.5,1.0
42,Pennsylvania,42.9,0.2,46.4,0.6
44,Rhode Island,41.9,0.4,44.9,2.4
45,South Carolina,41.2,0.3,43.1,1.2
46,South Dakota,42.6,0.4,50.5,1.0
47,Tennessee,41.3,0.2,45.3,0.9
48,Texas,39.9,0.2,45.7,0.5
49,Utah,36.3,0.3,40.7,0.8
50,Vermont,43.7,0.3,49.8,1.3
51,Virginia,41.3,0.2,44.0,1.1
53,Washington,41.4,0.2,46.8,0.6
54,West Virginia,42.5,0.3,46.7,3.5
55,Wisconsin,41.9,0.2,46.7,0.7
56,Wyoming,41.5,0.7,49.0,4.7
72,Puerto Rico,39.5,0.3,45.4,3.2
