GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
01,Alabama,42.4,0.2,47.7,1.2
02,Alaska,40.0,0.5,49.5,2.9
04,Arizona,40.8,0.2,48.4,1.1
05,Arkansas,41.8,0.3,48.5,1.8
06,California,41.2,0.2,47.3,0.4
08,Colorado,40.8,0.2,47.1,0.8
09,Connecticut,44.3,0.2,49.1,1.0
10,Delaware,42.9,0.4,46.9,1.9
11,District of Columbia,41.9,0.4,42.2,4.1
12,Florida,43.0,0.1,48.9,0.5
13,Georgia,41.7,0.2,45.9,0.7
15,Hawaii,41.8,0.3,48.1,3.4
16,Idaho,41.2,0.5,46.5,1.7
17,Illinois,42.0,0.1,47.8,0.7
18,Indiana,42.3,0.2,48.5,1.1
19,Iowa,42.4,0.3,48.9,1.3
20,Kansas,41.6,0.3,48.6,1.9
21,Kentucky,41.4,0.2,46.7,1.1
22,Louisiana,41.2,0.3,48.7,1.7
23,Maine,45.1,0.3,52.1,1.7
24,Maryland,42.7,0.2,48.3,0.9
25,Massachusetts,43.1,0.2,48.2,0.8
26,Michigan,42.6,0.1,48.4,0.8
27,Minnesota,42.1,0.2,46.6,0.8
28,Mississippi,41.7,0.4,44.5,1.2
29,Missouri,42.3,0.2,47.1,1.0
30,Montana,43.0,0.5,47.3,2.4
31,Nebraska,42.0,0.3,50.7,1.1
32,Nevada,41.5,0.3,49.9,1.3
33,New Hampshire,44.7,0.4,48.2,1.3
34,New Jersey,44.0,0.2,48.4,0.6
35,New Mexico,41.7,0.4,53.3,1.5
36,New York,42.5,0.1,47.9,0.5
37,North Carolina,42.2,0.1,47.0,0.7
38,North Dakota,40.0,0.4,48.0,3.2
39,Ohio,43.0,0.2,47.3,0.7
40,Oklahoma,41.1,0.2,45.5,2.3
41,Oregon,41.9,0.3,47.9,1.5
42,Pennsylvania,43.7,0.2,47.7,0.7
44,Rhode Island,43.4,0.4,44.9,2.3
45,South Carolina,41.6,0.3,48.2,0.9
46,South Dakota,42.6,0.4,52.1,1.9
47,Tennessee,42.2,0.2,47.3,1.2
48,Texas,40.6,0.1,46.0,0.4
49,Utah,37.9,0.3,42.8,0.7
50,Vermont,45.1,0.4,51.9,1.4
51,Virginia,42.1,0.2,47.4,0.8
53,Washington,41.8,0.2,47.3,0.9
54,West Virginia,43.3,0.3,45.8,1.8
55,Wisconsin,42.5,0.2,49.0,0.6
56,Wyoming,41.3,0.7,48.1,3.4
72,Puerto Rico,41.0,0.3,45.7,1.4
