GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Management, business, science, and arts occupations","Margin of Error; Total: - Management, business, science, and arts occupations",Estimate; Total: - Service occupations,Margin of Error; Total: - Service occupations,Estimate; Total: - Sales and office occupations,Margin of Error; Total: - Sales and office occupations,"Estimate; Total: - Natural resources, construction, and maintenance occupations","Margin of Error; Total: - Natural resources, construction, and maintenance occupations","Estimate; Total: - Production, transportation, and material moving occupations","Margin of Error; Total: - Production, transportation, and material moving occupations",Estimate; Total: - Military specific occupations,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,"Estimate; Total: - Worked at home: - Management, business, science, and arts occupations","Margin of Error; Total: - Worked at home: - Management, business, science, and arts occupations",Estimate; Total: - Worked at home: - Service occupations,Margin of Error; Total: - Worked at home: - Service occupations,Estimate; Total: - Worked at home: - Sales and office occupations,Margin of Error; Total: - Worked at home: - Sales and office occupations,"Estimate; Total: - Worked at home: - Natural resources, construction, and maintenance occupations","Margin of Error; Total: - Worked at home: - Natural resources, construction, and maintenance occupations","Estimate; Total: - Worked at home: - Production, transportation, and material moving occupations","Margin of Error; Total: - Worked at home: - Production, transportation, and material moving occupations",Estimate; Total: - Worked at home: - Military specific occupations
01,Alabama,1964105,15947,668383,14564,318329,9819,465161,10327,188449,7188,319899,8879,3884,63757,4204,27100,2757,7068,1338,17457,2691,5633,1529,6319,1539,180
02,Alaska,371382,5372,131159,4883,63041,4187,80400,5499,46293,3186,42174,3784,8315,16095,2050,7454,1106,2775,869,2543,754,1863,803,1287,405,173
04,Arizona,2872284,18674,990904,14949,565302,13244,754412,13112,262966,9858,291082,9212,7618,159681,5505,77053,4117,22377,2484,44629,3295,8140,2023,7109,1453,373
05,Arkansas,1249200,11927,398173,8293,206784,7197,294750,8241,137094,6033,210902,7954,1497,38370,2875,17979,2019,5463,1172,8087,1312,4870,1197,1971,621,0
06,California,17630992,45581,6635540,39715,3280162,32921,4032737,32959,1644884,22154,1977135,19761,60534,970039,14583,492911,11998,184156,7275,205748,8063,41460,3803,38459,3296,7305
08,Colorado,2731235,18274,1115218,13112,454440,10934,645303,14131,254233,8898,244236,7479,17805,194904,7005,111326,5395,21901,2074,45980,3111,9632,1746,5882,1096,183
09,Connecticut,1741224,12778,728469,11881,301807,9197,409667,11036,130450,7136,165788,6640,5043,84879,4806,47984,3355,9951,1721,18983,2074,3920,1083,2509,742,1532
10,Delaware,440156,7251,181300,6198,79584,4632,104735,4261,36656,3305,36975,3083,906,20878,2186,11909,1588,2634,901,3614,793,1760,914,923,412,38
11,District of Columbia,839206,12936,509684,10267,124903,6268,127456,5301,41095,4064,30705,3255,5363,21529,2463,14749,1718,2447,1066,3067,1075,517,392,596,387,153
12,Florida,8827805,36427,3026301,26354,1770359,24856,2379266,27753,817193,19933,808519,17609,26167,493307,15108,242442,9638,54535,4677,139053,6809,32612,4314,23203,3467,1462
13,Georgia,4555994,22343,1654769,21232,740590,14544,1101802,20637,410150,12044,620626,12537,28057,231968,9335,124400,6983,19804,2612,62716,4338,12300,2327,9584,1881,3164
15,Hawaii,705741,7272,228403,6076,153775,5566,166003,5875,71476,4662,58726,4148,27358,32616,3184,14508,1847,5912,1334,6612,1188,2216,882,1867,695,1501
16,Idaho,714037,9303,240747,7292,137450,6359,164918,7703,77907,4312,90279,4982,2736,45237,4045,18374,2184,6410,1416,12536,2506,3452,1111,4390,1464,75
17,Illinois,6082035,23448,2273874,19103,1053071,15720,1439623,15619,447233,9614,855793,13518,12441,268434,8524,134510,6047,42426,3389,63649,3602,14456,2264,12907,1787,486
18,Indiana,3012416,18350,990287,15832,501452,11114,686876,11571,267501,8039,565161,12160,1139,109168,4985,49678,3450,16541,2056,27568,2415,8034,1801,7347,1247,0
19,Iowa,1574850,10000,535992,10154,265500,8407,348702,8871,150965,5964,273449,6665,242,64248,3432,30436,2551,12328,1618,12164,1562,5121,1078,4199,982,0
20,Kansas,1426252,11998,516191,9615,237734,6694,318890,8828,142401,5978,200127,6904,10909,59428,3100,29408,1992,9200,1310,13552,1398,3056,870,3496,868,716
21,Kentucky,1929752,14847,631680,12582,317647,9782,454875,10081,178537,7287,333249,9493,13764,59739,4095,28530,2496,9015,1637,13871,1813,3846,1084,4413,1085,64
22,Louisiana,2033248,16656,679098,13535,387834,11444,476019,12210,243477,8381,240955,8008,5865,56858,4390,24461,2476,6546,1456,15988,2394,5066,1386,4749,1338,48
23,Maine,621181,8105,227464,6939,111875,5182,145548,5680,66349,3760,69029,3671,916,36488,3120,18240,2243,6178,1337,6513,1229,3202,866,2325,896,30
24,Maryland,2743587,19263,1194692,13075,473644,12320,613033,13968,210280,6847,232462,7595,19476,131975,6166,75542,4176,16609,2207,27720,2330,5578,1776,4901,1441,1625
25,Massachusetts,3532276,17588,1589502,17953,615058,13915,768447,13282,245056,9294,311657,9541,2556,164032,6622,92885,4781,24691,3096,33771,2998,6944,1423,5651,1242,90
26,Michigan,4383993,17263,1551532,17831,789068,12026,1008971,15447,343167,7570,689838,10565,1417,158838,6080,76217,3019,27344,3039,38215,2622,8395,1447,8623,1404,44
27,Minnesota,2876109,11512,1161196,11558,463454,8659,642040,10138,233677,6354,375171,8038,571,157355,5052,79697,3332,27927,2704,34531,2057,7939,1087,7261,1003,0
28,Mississippi,1141953,11389,351687,9569,203559,7901,269665,9257,116481,5557,195311,7113,5250,25115,2892,10114,1880,3530,1059,6071,1388,3444,1166,1802,751,154
29,Missouri,2886690,18643,1037727,13524,505733,10788,697178,11811,259385,9106,379973,8681,6694,136530,5876,63967,3657,21476,3177,31534,3350,9678,1779,6662,1568,3213
30,Montana,479416,7204,182647,6402,90269,4949,102078,5319,63484,3752,39437,3205,1501,29109,2309,14782,1516,3891,755,5591,1128,3644,975,1201,406,0
31,Nebraska,997028,7665,365118,6859,160230,6422,232728,6570,101510,4422,135375,4308,2067,38329,2511,19470,1945,6272,827,7991,1124,2922,698,1652,457,22
