GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
01,Alabama,1916877,16226,55782,4508,31413,3542,24369,2450
02,Alaska,352044,6246,18805,3141,10285,2256,8520,1641
04,Arizona,2600823,20960,150889,6705,80716,4071,70173,4813
05,Arkansas,1223069,12450,36259,3465,18849,2748,17410,2390
06,California,15926651,47686,824305,17515,417584,11256,406721,9962
08,Colorado,2417222,16499,155132,7501,79604,4986,75528,4666
09,Connecticut,1696736,11314,67215,4129,32834,2629,34381,2900
10,Delaware,412806,8922,14762,1986,8590,1383,6172,1076
11,District of Columbia,784987,13175,14870,2071,8035,1303,6835,1381
12,Florida,7821529,28945,362831,11267,196579,9429,166252,7217
13,Georgia,4114847,23689,198889,8662,105603,5944,93286,5401
15,Hawaii,658038,8063,33658,4890,18620,4413,15038,1832
16,Idaho,654351,9215,40257,3944,22202,2768,18055,1976
17,Illinois,5790603,23746,249207,7603,126745,5719,122462,4548
18,Indiana,2787823,17846,93626,4782,47819,3499,45807,3574
19,Iowa,1515823,11740,73164,4712,37746,3616,35418,2473
20,Kansas,1372924,11343,59886,4477,27589,2621,32297,2973
21,Kentucky,1820806,17174,65922,4936,39567,4336,26355,2889
22,Louisiana,1950271,14337,42109,3455,20941,2520,21168,2150
23,Maine,615364,6884,32346,2471,16058,1769,16288,1681
24,Maryland,2557335,19868,122635,5991,59749,3936,62886,3860
25,Massachusetts,3205372,19260,133432,5258,67801,4242,65631,3701
26,Michigan,4003428,19255,143706,7029,68540,4824,75166,3646
27,Minnesota,2666098,12451,143802,4672,71755,3116,72047,3480
28,Mississippi,1111361,13626,28087,3116,15111,2450,12976,1830
29,Missouri,2743623,14858,112679,6051,58949,3674,53730,4109
30,Montana,458003,5845,30112,2925,16510,1925,13602,1887
31,Nebraska,937834,8489,39761,2839,20323,1807,19438,1985
32,Nevada,1191986,12734,43778,4398,24405,3627,19373,2124
33,New Hampshire,628044,7757,39180,3507,22364,2683,16816,1803
34,New Jersey,3801308,21987,145441,5723,80171,4221,65270,3345
35,New Mexico,848687,9895,41852,3221,22702,2402,19150,2152
36,New York,9046575,33122,347072,10372,183090,8317,163982,6011
37,North Carolina,4121671,25131,166510,6812,89928,5134,76582,4833
38,North Dakota,379847,4886,18531,1496,9971,959,8560,1080
39,Ohio,5075200,21324,180003,8166,88242,5144,91761,5317
40,Oklahoma,1641563,13382,68542,4273,36190,3174,32352,2555
41,Oregon,1709279,14334,108132,5757,53235,4189,54897,3650
42,Pennsylvania,5655344,24975,212107,7227,103898,4340,108209,5689
44,Rhode Island,464646,7946,15908,2133,8629,1600,7279,1343
45,South Carolina,1912871,16618,72437,4651,39771,3070,32666,3006
46,South Dakota,407277,5086,21018,1708,11792,1280,9226,1050
47,Tennessee,2711169,19153,90494,4679,48144,3241,42350,3292
48,Texas,11132187,37096,453258,12790,242020,8180,211238,8131
49,Utah,1209175,11335,53014,3478,24173,2434,28841,2209
50,Vermont,313415,4891,23357,2393,12966,1767,10391,1442
51,Virginia,3762996,18633,167035,7799,84138,5406,82897,5239
53,Washington,2997311,18948,162951,8621,78106,6829,84845,4960
54,West Virginia,709109,10548,20446,2369,9113,1565,11333,1837
55,Wisconsin,2712317,13635,115359,4395,60361,3298,54998,2403
56,Wyoming,285840,4955,13647,2096,7216,1291,6431,1580
72,Puerto Rico,1077361,12072,25597,2773,15459,1751,10138,2138
